basepk,hid,speechdate,pid,opid,speakeroldname,speakerposition,maintopic,subtopic,subsubtopic,speechtext,speakerparty,speakerriding,speakername,speakerurl
4743618,ca.proc.d.2018-05-08.10115093,2018-05-08,7cff4486-6787-493d-a4ee-a59d48f68ab3,219527,"Hon. Denis Paradis (Brome—Missisquoi, Lib.)",,Routine Proceedings,Committees of the House,Official Languages,"Mr. Speaker, as chair of the House of Commons Standing Committee on Official Languages, I have the honour to present, in both official languages, the 10th report of the Standing Committee on Official Languages entitled “Growing Up in French in Western Canada: A Review of Federal Support for Early Childhood Education”. Pursuant to Standing Order 109, the committee requests that the government table a comprehensive response to this report. 
This report is about early childhood services in minority communities in Canada. That is important, because once children are lost, it is hard to get them back again.
I would like to thank the committee members who contributed to the report, all of the witnesses, the clerk, Christine Holke, and the analyst, Lucie Lecomte. Ms. Lecomte suffered a fall recently. I hope she recovers and comes back to us soon.",Liberal,Brome—Missisquoi,Denis Paradis,http://www.parl.gc.ca/Parliamentarians/en/members/denis-paradis(219527)
4743619,ca.proc.d.2018-05-08.10115103,2018-05-08,07cf5767-802c-406c-92a7-7dc92af79b40,229526,"Mr. Kevin Lamoureux (Parliamentary Secretary to the Leader of the Government in the House of Commons, Lib.)",,Routine Proceedings,Business of the House,,"Mr. Speaker, there have been discussions among the parties and if you seek it, I think you will find unanimous consent for the following motion. I move:
 That, notwithstanding any Standing Order or usual practice of the House, the hours of sitting and the order of business of the House on Thursday, May 10, 2018, shall be those of a Wednesday, and that no quorum calls or dilatory motions shall be received by the Chair. 
",Liberal,Winnipeg North,Kevin Lamoureux,http://www.parl.gc.ca/Parliamentarians/en/members/kevin-lamoureux(229526)
4743620,ca.proc.d.2018-05-08.10115115,2018-05-08,3176068f-62ee-4b2f-aacd-1131201c6db1,214707,The Speaker,,Routine Proceedings,Business of the House,,Does the hon. parliamentary secretary have the unanimous consent of the House to propose the motion?,Liberal,Halifax West,Geoff Regan,http://www.parl.gc.ca/Parliamentarians/en/members/geoff-regan(214707)
4743621,ca.proc.d.2018-05-08.p5392714,2018-05-08,,,,intervention,Routine Proceedings,Business of the House,, Agreed.,,,Some hon. members,
4743622,ca.proc.d.2018-05-08.p5392715,2018-05-08,3176068f-62ee-4b2f-aacd-1131201c6db1,214707,The Speaker,,Routine Proceedings,Business of the House,, The House has heard the terms of the motion. Is it the pleasure of the House to adopt the motion?,Liberal,Halifax West,Geoff Regan,http://www.parl.gc.ca/Parliamentarians/en/members/geoff-regan(214707)
4743623,ca.proc.d.2018-05-08.p5392716,2018-05-08,,,,intervention,Routine Proceedings,Business of the House,, Agreed.,,,Some hon. members,
4743624,ca.proc.d.2018-05-08.p2,2018-05-08,3176068f-62ee-4b2f-aacd-1131201c6db1,214707,The Speaker,,Routine Proceedings,Business of the House,,(Motion agreed to),Liberal,Halifax West,Geoff Regan,http://www.parl.gc.ca/Parliamentarians/en/members/geoff-regan(214707)
4743625,ca.proc.d.2018-05-08.10115119,2018-05-08,3838746e-29a4-4a93-8239-a2b17a3b387f,218480,"Mr. Mark Warawa (Langley—Aldergrove, CPC)",,Routine Proceedings,Petitions,Physician-Assisted Dying,"Mr. Speaker, I have the honour to present two petitions today. The first relates to conscience protection. It highlights that coercion, intimidation, and other forms of pressure intended to force physicians, health care professionals, or health institutions to be parties to assisted suicide or euthanasia is a violation of their charter rights. The petitioners call on Parliament to enshrine in the Criminal Code of Canada protection for the conscience of physicians, health care professionals, and health institutions to ensure that they would no longer be intimidated.",Conservative,Langley—Aldergrove,Mark Warawa,http://www.parl.gc.ca/Parliamentarians/en/members/mark-warawa(218480)
4743626,ca.proc.d.2018-05-08.10115479,2018-05-08,3838746e-29a4-4a93-8239-a2b17a3b387f,218480,"Mr. Mark Warawa (Langley—Aldergrove, CPC)",,Routine Proceedings,Petitions,Impaired Driving,"Mr. Speaker, the second petition is in relation to impaired driving. It is from Families for Justice. The petitioners want to have impaired driving causing vehicular death called vehicular manslaughter, and they want mandatory minimum sentencing.",Conservative,Langley—Aldergrove,Mark Warawa,http://www.parl.gc.ca/Parliamentarians/en/members/mark-warawa(218480)
4743627,ca.proc.d.2018-05-08.10115164,2018-05-08,cedf1659-ebb1-4f26-b723-5c7c5353988b,214948,"Mrs. Carol Hughes (Algoma—Manitoulin—Kapuskasing, NDP)",,Routine Proceedings,Petitions,Algoma Passenger Train,"Mr. Speaker, I am pleased to rise to table a petition signed by the good people of Blind River, Echo Bay, Iron Bridge, Bruce Mines, Hilton Beach, as well as Sault Ste. Marie, Sudbury, and Goulais River. The petition is one of many I have tabled in the House for the Algoma passenger train. Since it has been taken off the rails, it has caused a lot of hardship for residents, businesses, communities, and other passengers. Seventy-five per cent of properties in proximity to the rail are inaccessible except by rail service. The few industrial roads are maintained only when and if industries need them, and they are not for public use. 
The Missanabie Cree First Nation-led Mask-wa Oo-ta-ban, the bear train, an Ontario first nation train, would contribute to reconciliation through first nation employment and economic opportunities. The passenger train is environmentally responsible transportation, and it is important for regional health care and post-secondary education. 
The petitioners ask the government to assist in putting that train back on track.",New Democratic Party,Algoma—Manitoulin—Kapuskasing,Carol Hughes,http://www.parl.gc.ca/Parliamentarians/en/members/carol-hughes(214948)
