Canada, Death rates (period 1x1), 	Last modified: 26 Sep 2017;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
  1921           0             0.105821        0.138250        0.122259
  1921           1             0.015593        0.017806        0.016710
  1921           2             0.007409        0.008521        0.007970
  1921           3             0.005442        0.006111        0.005779
  1921           4             0.004563        0.004745        0.004655
  1921           5             0.003433        0.003828        0.003633
  1921           6             0.002853        0.003630        0.003245
  1921           7             0.002832        0.003177        0.003006
  1921           8             0.002470        0.002615        0.002543
  1921           9             0.002160        0.002448        0.002305
  1921          10             0.001922        0.002141        0.002032
  1921          11             0.002027        0.002222        0.002125
  1921          12             0.002038        0.002100        0.002069
  1921          13             0.002015        0.002170        0.002093
  1921          14             0.002243        0.002082        0.002162
  1921          15             0.002411        0.002516        0.002464
  1921          16             0.002929        0.002739        0.002834
  1921          17             0.002760        0.003580        0.003172
  1921          18             0.003399        0.003506        0.003452
  1921          19             0.003764        0.003594        0.003680
  1921          20             0.003899        0.003675        0.003788
  1921          21             0.003823        0.004173        0.003995
  1921          22             0.004198        0.003808        0.004006
  1921          23             0.004519        0.004207        0.004365
  1921          24             0.004554        0.003715        0.004137
  1921          25             0.004226        0.003965        0.004096
  1921          26             0.004556        0.004001        0.004276
  1921          27             0.004732        0.004155        0.004440
  1921          28             0.004765        0.004395        0.004576
  1921          29             0.004577        0.003938        0.004249
  1921          30             0.005068        0.003998        0.004515
  1921          31             0.004323        0.003580        0.003937
  1921          32             0.004786        0.004154        0.004455
  1921          33             0.004670        0.004044        0.004339
  1921          34             0.005256        0.003848        0.004507
  1921          35             0.005672        0.005068        0.005348
  1921          36             0.005825        0.004526        0.005126
  1921          37             0.005723        0.004293        0.004950
  1921          38             0.006240        0.005923        0.006068
  1921          39             0.006004        0.004662        0.005277
  1921          40             0.006343        0.006477        0.006415
  1921          41             0.005400        0.005301        0.005346
  1921          42             0.007117        0.006729        0.006907
  1921          43             0.006723        0.005546        0.006085
  1921          44             0.006750        0.005699        0.006179
  1921          45             0.007914        0.007659        0.007775
  1921          46             0.007014        0.006996        0.007005
  1921          47             0.007211        0.007137        0.007171
  1921          48             0.007921        0.008593        0.008286
  1921          49             0.008172        0.008204        0.008189
  1921          50             0.009590        0.010745        0.010215
  1921          51             0.008761        0.008146        0.008429
  1921          52             0.012246        0.011263        0.011716
  1921          53             0.010486        0.010790        0.010649
  1921          54             0.011842        0.011833        0.011837
  1921          55             0.011911        0.013786        0.012907
  1921          56             0.012496        0.015219        0.013936
  1921          57             0.013175        0.014418        0.013830
  1921          58             0.016979        0.017792        0.017407
  1921          59             0.015727        0.017828        0.016835
  1921          60             0.020824        0.021338        0.021095
  1921          61             0.016627        0.018696        0.017721
  1921          62             0.020074        0.023705        0.021995
  1921          63             0.021622        0.025059        0.023438
  1921          64             0.024937        0.025327        0.025143
  1921          65             0.030704        0.033642        0.032254
  1921          66             0.031147        0.029237        0.030140
  1921          67             0.033432        0.035491        0.034515
  1921          68             0.042912        0.041003        0.041911
  1921          69             0.037061        0.039466        0.038318
  1921          70             0.049515        0.051449        0.050521
  1921          71             0.041757        0.043999        0.042918
  1921          72             0.053451        0.058517        0.056062
  1921          73             0.054536        0.061086        0.057893
  1921          74             0.062374        0.066054        0.064247
  1921          75             0.071507        0.075359        0.073454
  1921          76             0.078106        0.083294        0.080710
  1921          77             0.076306        0.085539        0.080906
  1921          78             0.097912        0.103390        0.100625
  1921          79             0.080105        0.101682        0.090532
  1921          80             0.104381        0.122428        0.112878
  1921          81             0.087383        0.099032        0.092846
  1921          82             0.115004        0.121048        0.117820
  1921          83             0.130251        0.147494        0.138268
  1921          84             0.138123        0.163607        0.149937
  1921          85             0.152462        0.174081        0.162280
  1921          86             0.156737        0.189831        0.171353
  1921          87             0.198710        0.218679        0.207436
  1921          88             0.200916        0.249132        0.222009
  1921          89             0.187089        0.221716        0.202079
  1921          90             0.244341        0.230559        0.238519
  1921          91             0.212242        0.236601        0.222286
  1921          92             0.225208        0.251572        0.236105
  1921          93             0.291761        0.236252        0.268539
  1921          94             0.303599        0.262681        0.286520
  1921          95             0.288966        0.300505        0.293739
  1921          96             0.313220        0.262450        0.292856
  1921          97             0.285647        0.328340        0.302841
  1921          98             0.328996        0.425392        0.369739
  1921          99             0.374407        0.245864        0.317225
  1921         100             0.451238        0.455005        0.452988
  1921         101             0.488150        0.495335        0.491561
  1921         102             0.527314        0.543180        0.535002
  1921         103             0.588910        0.608307        0.598596
  1921         104             0.700000        0.681026        0.689918
  1921         105             0.920128        0.773649        0.834214
  1921         106             1.551724        0.888046        1.090909
  1921         107             4.171429        1.016129        1.473103
  1921         108                   .        2.145078        2.145078
  1921         109                   .              .              .
  1921         110+                  .              .              .
  1922           0             0.105841        0.139035        0.122599
  1922           1             0.015458        0.018111        0.016796
  1922           2             0.007677        0.008333        0.008008
  1922           3             0.004869        0.005405        0.005140
  1922           4             0.004152        0.004314        0.004233
  1922           5             0.003133        0.003441        0.003288
  1922           6             0.002750        0.003047        0.002900
  1922           7             0.002319        0.002883        0.002603
  1922           8             0.002433        0.002623        0.002528
  1922           9             0.002109        0.002423        0.002267
  1922          10             0.001888        0.002164        0.002028
  1922          11             0.001883        0.001913        0.001898
  1922          12             0.001959        0.002188        0.002074
  1922          13             0.002216        0.002107        0.002161
  1922          14             0.001939        0.002321        0.002131
  1922          15             0.002341        0.002278        0.002309
  1922          16             0.002773        0.002723        0.002748
  1922          17             0.002923        0.003124        0.003024
  1922          18             0.003229        0.003283        0.003256
  1922          19             0.003563        0.003587        0.003575
  1922          20             0.003694        0.003575        0.003635
  1922          21             0.004099        0.003848        0.003975
  1922          22             0.004172        0.004067        0.004121
  1922          23             0.004681        0.004194        0.004441
  1922          24             0.004469        0.003527        0.004003
  1922          25             0.004008        0.003906        0.003957
  1922          26             0.004443        0.003890        0.004167
  1922          27             0.004854        0.004114        0.004482
  1922          28             0.005059        0.003569        0.004305
  1922          29             0.004294        0.004303        0.004299
  1922          30             0.004800        0.004377        0.004583
  1922          31             0.004099        0.003469        0.003774
  1922          32             0.005670        0.004265        0.004939
  1922          33             0.004815        0.004000        0.004388
  1922          34             0.004959        0.003830        0.004363
  1922          35             0.005441        0.004931        0.005170
  1922          36             0.005471        0.004588        0.004998
  1922          37             0.005412        0.004497        0.004920
  1922          38             0.006794        0.004948        0.005798
  1922          39             0.005841        0.004782        0.005269
  1922          40             0.006709        0.006398        0.006541
  1922          41             0.005302        0.004465        0.004850
  1922          42             0.007274        0.006861        0.007051
  1922          43             0.006213        0.005966        0.006080
  1922          44             0.006909        0.005974        0.006403
  1922          45             0.008101        0.007975        0.008033
  1922          46             0.007782        0.006634        0.007159
  1922          47             0.007147        0.007034        0.007086
  1922          48             0.008283        0.008155        0.008214
  1922          49             0.008201        0.007999        0.008091
  1922          50             0.009508        0.010279        0.009926
  1922          51             0.008299        0.008277        0.008287
  1922          52             0.011135        0.011226        0.011184
  1922          53             0.009718        0.010926        0.010368
  1922          54             0.011774        0.011123        0.011426
  1922          55             0.011717        0.015160        0.013549
  1922          56             0.013536        0.015000        0.014310
  1922          57             0.013646        0.016580        0.015189
  1922          58             0.017090        0.017766        0.017445
  1922          59             0.015229        0.017825        0.016596
  1922          60             0.019177        0.021561        0.020434
  1922          61             0.016325        0.018739        0.017600
  1922          62             0.023234        0.023170        0.023200
  1922          63             0.021872        0.024612        0.023321
  1922          64             0.024064        0.026173        0.025177
  1922          65             0.031097        0.034468        0.032874
  1922          66             0.028206        0.032050        0.030230
  1922          67             0.033108        0.037152        0.035233
  1922          68             0.040733        0.043699        0.042288
  1922          69             0.038886        0.042720        0.040889
  1922          70             0.048804        0.051248        0.050076
  1922          71             0.041958        0.045976        0.044041
  1922          72             0.058147        0.062117        0.060196
  1922          73             0.055534        0.067261        0.061556
  1922          74             0.062314        0.069097        0.065778
  1922          75             0.076597        0.077889        0.077253
  1922          76             0.086500        0.082443        0.084456
  1922          77             0.081302        0.089831        0.085568
  1922          78             0.105630        0.109090        0.107349
  1922          79             0.092967        0.104799        0.098808
  1922          80             0.109982        0.121825        0.115557
  1922          81             0.098284        0.107743        0.102707
  1922          82             0.126391        0.143942        0.134574
  1922          83             0.130105        0.145846        0.137380
  1922          84             0.155174        0.169655        0.161840
  1922          85             0.163803        0.194957        0.178076
  1922          86             0.186810        0.217927        0.200718
  1922          87             0.185298        0.221101        0.200823
  1922          88             0.205483        0.219650        0.211569
  1922          89             0.180831        0.211323        0.193944
  1922          90             0.239811        0.278153        0.256194
  1922          91             0.199492        0.207967        0.203042
  1922          92             0.245671        0.281947        0.260402
  1922          93             0.294509        0.257273        0.279095
  1922          94             0.295446        0.287037        0.291840
  1922          95             0.294729        0.359091        0.321509
  1922          96             0.285689        0.351628        0.312590
  1922          97             0.333064        0.288492        0.315254
  1922          98             0.414156        0.375419        0.398696
  1922          99             0.368520        0.310192        0.343376
  1922         100             0.334911        0.523715        0.419766
