uniqueID,surname,allOtherNames,firstName,commonName,displayName,earlierOrLaterNames,title,gender,birthDate,birthYear,birthPlace,deathDate,member,senator,wasPrimeMinister,wikidataID,wikipedia,adb,comments
Abbott1859,Abbott,Richard Hartley Smith,Richard,NA,"Abbott, Richard",NA,NA,male,NA,1859,Bendigo,1940-02-28,0,1,NA,Q7323613,https://en.wikipedia.org/wiki/Richard_Abbott_(politician),NA,NA
Abbott1869,Abbott,Percy Phipps,Percy,NA,"Abbott, Percy",NA,NA,male,1869-05-14,1869,Hobart,1940-09-09,1,1,NA,Q7167212,https://en.wikipedia.org/wiki/Percy_Abbott_(Australian_politician),NA,NA
Abbott1877,Abbott,Macartney,Macartney,Mac,"Abbott, Mac",NA,NA,male,1877-07-03,1877,Murrurundi,1960-12-30,0,1,NA,Q6722175,https://en.wikipedia.org/wiki/Mac_Abbott,NA,NA
Abbott1886,Abbott,Charles Lydiard Aubrey,Charles,Aubrey,"Abbott, Aubrey",NA,NA,male,1886-01-04,1886,St Leonards,1975-04-30,1,0,NA,Q4819077,https://en.wikipedia.org/wiki/Aubrey_Abbott,NA,NA
Abbott1891,Abbott,Joseph Palmer,Joseph,NA,"Abbott, Joseph",NA,NA,male,1891-10-18,1891,North Sydney,1965-05-07,1,0,NA,Q6208273,https://en.wikipedia.org/wiki/Joe_Abbott_(Australian_politician),NA,NA
Abbott1957,Abbott,Anthony John,Anthony,Tony,"Abbott, Tony",NA,NA,male,1957-11-04,1957,London,NA,1,0,1,Q348577,https://en.wikipedia.org/wiki/Tony_Abbott,NA,NA
Abel1939,Abel,John Arthur,John,NA,"Abel, John",NA,NA,male,1939-06-25,1939,Sydney,NA,1,0,NA,Q6218050,https://en.wikipedia.org/wiki/John_Abel_(politician),NA,NA
Abetz1958,Abetz,Eric,Eric,NA,"Abetz, Eric",NA,NA,male,1958-01-25,1958,Stuttgart,NA,0,1,NA,Q964840,https://en.wikipedia.org/wiki/Eric_Abetz,NA,NA
Adams1943,Adams,Judith Anne,Judith,NA,"Adams, Judith",nee Bird,NA,female,1943-04-11,1943,Picton,2012-03-31,0,1,NA,Q379072,https://en.wikipedia.org/wiki/Judith_Adams,NA,NA
Adams1951,Adams,Dick Godfrey Harry,Dick,NA,"Adams, Dick",NA,NA,male,1951-04-29,1951,Launceston,NA,1,0,NA,Q5272614,https://en.wikipedia.org/wiki/Dick_Adams_(politician),NA,NA
