_id,OBJECTID,ID,ADDRESSNUMBERTEXT,ADDRESSSTREET,FRONTINGSTREET,SIDE,FROMSTREET,DIRECTION,SITEID,WARD,BIA,ASSETTYPE,STATUS,SDE_STATE_ID,X,Y,LONGITUDE,LATITUDE,geometry
3613143,4,BP-11699,70,The Pond Rd,NA,NA,Seneca Lane,NA,NA,07,NA,Rack,Existing,0,304813.343,4847867.805,-79.499834262,43.770770154,"c(-79.4998342614142, 43.7707701519576)"
3613144,9,BP-11900,8,Assiniboine Rd,NA,NA,Nelson Rd,NA,NA,07,NA,Rack,Existing,0,304460.91,4847578.496,-79.504211783,43.768165951,"c(-79.504211785859, 43.768165954106)"
3613145,56,BP-11338,1495,Queen St W,NA,NA,Dowling Ave,NA,NA,04,Parkdale Village,NA,Existing,0,309620.471,4833320.486,-79.440253273,43.639810126,"c(-79.4402532672444, 43.6398101276477)"
3613146,65,BP-03501,8,Kensington Ave,NA,NA,Kensington Ave,NA,NA,11,Kensington Market,Ring,Existing,0,312856.125,4834795.334,-79.400127413,43.653057756,"c(-79.4001274086522, 43.6530577620828)"
3613147,100,BP-03280,87,Avenue Rd,Avenue Rd,East,Elgin Ave,North,NA,11,Bloor-Yorkville,Ring,Existing,0,313240.819,4836897.969,-79.395325446,43.671979996,"c(-79.3953254478664, 43.6719800014078)"
3613148,109,BP-12883,21,Canniff St,NA,NA,Strachan Ave,NA,NA,10,NA,Ring,Existing,0,311940.672,4833504.872,-79.411493409,43.641451209,"c(-79.4114934143378, 43.6414512066734)"
3613149,187,BP-08045,145,Queens Quay W,NA,NA,York St,NA,NA,10,The Waterfront,NA,Existing,0,314505.596,4833307.513,-79.379705516,43.639645676,"c(-79.379705519852, 43.6396456736644)"
3613150,188,BP-07766,162,Mc Caul St,NA,NA,Mc Caul St,NA,NA,11,NA,Ring,Existing,0,313505.863,4835081.661,-79.392067935,43.655627766,"c(-79.3920679390701, 43.6556277674895)"
3613151,198,BP-14494,1246,Bloor St W,NA,NA,Margueretta St,NA,NA,09,Bloordale Village,NA,Existing,0,309633.259,4835449.198,-79.440075726,43.658971338,"c(-79.440075721153, 43.6589713433798)"
3613152,213,BP-11634,8,Assiniboine Rd,NA,NA,Scholars Walk,NA,NA,07,NA,Rack,Existing,0,304515.293,4847629.273,-79.503536333,43.768623027,"c(-79.5035363297291, 43.76862302965)"
3613153,218,BP-08338,50,Western Battery Rd,NA,NA,Pirandello St,East,NA,10,NA,NA,Existing,0,311736.367,4833336.57,-79.414027868,43.639938191,"c(-79.4140278736865, 43.6399381912054)"
3613154,237,BP-14805,359,King St E,NA,NA,Derby St,NA,NA,13,St. Lawrence Market Neighbourhood,Ring,Temporarily Removed,0,315707.043,4834678.549,-79.364786738,43.651970194,"c(-79.3647867344514, 43.6519701999956)"
3613155,277,BP-15966,87,Avenue Rd,Avenue Rd,East,Elgin Ave,North,NA,11,NA,Ring,Existing,0,313239.951,4836900.226,-79.395336177,43.672000328,"c(-79.3953361766065, 43.6720003272253)"
3613156,297,BP-13787,147,Baldwin St,NA,NA,Spadina Ave,NA,NA,11,Kensington Market,NA,Existing,0,312876.928,4834998.675,-79.399866469,43.654887872,"c(-79.3998664709892, 43.6548878783334)"
3613157,319,BP-13385,145,Queens Quay W,NA,NA,York St,NA,NA,10,The Waterfront,NA,Existing,0,314511.625,4833301.306,-79.379630906,43.639589724,"c(-79.3796309060618, 43.6395897235757)"
3613158,338,BP-15331,911,Davenport Rd,NA,NA,Davenport Rd,NA,NA,12,NA,NA,Existing,0,310973.155,4837275.766,-79.423442381,43.675402964,"c(-79.4234423850333, 43.675402963235)"
3613159,341,BP-08916,20,Lombard St,NA,NA,Lombard St,NA,NA,13,St. Lawrence Market Neighbourhood,NA,Existing,0,314695.814,4834615.514,-79.377323943,43.651416936,"c(-79.3773239406763, 43.6514169410561)"
