Electoral district number - Numéro de la circonscription,Electoral district name,Nom de la circonscription,Type of results*,Type de résultats**,Surname - Nom de famille,Middle name(s) - Autre(s) prénom(s),Given name - Prénom,Political affiliation,Appartenance politique,Votes obtained - Votes obtenus,% Votes obtained - Votes obtenus %,Rejected ballots - Bulletins rejetés***,Total number of ballots cast - Nombre total de votes déposés
10001,Avalon,Avalon,preliminary,préliminaires,Chapman,NA,Matthew,Conservative,Conservateur,12538,31,0,40457
10001,Avalon,Avalon,preliminary,préliminaires,Malone,NA,Greg,Green Party,Parti Vert,2172,5.4,0,40457
10001,Avalon,Avalon,preliminary,préliminaires,McDonald,NA,Kenneth,Liberal,Libéral,18646,46.1,0,40457
10001,Avalon,Avalon,preliminary,préliminaires,Movelle,NA,Lea Mary,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,7101,17.6,0,40457
10001,Avalon,Avalon,validated,validés,Chapman,NA,Matthew,Conservative,Conservateur,12855,31.1,397,41731
10001,Avalon,Avalon,validated,validés,Malone,NA,Greg,Green Party,Parti Vert,2215,5.4,397,41731
10001,Avalon,Avalon,validated,validés,McDonald,NA,Kenneth,Liberal,Libéral,19122,46.3,397,41731
10001,Avalon,Avalon,validated,validés,Movelle,NA,Lea Mary,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,7142,17.3,397,41731
10002,Bonavista--Burin--Trinity,Bonavista--Burin--Trinity,preliminary,préliminaires,Cooper,NA,Matthew,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,3855,12,0,32173
10002,Bonavista--Burin--Trinity,Bonavista--Burin--Trinity,preliminary,préliminaires,Reichel,NA,Kelsey,Green Party,Parti Vert,920,2.9,0,32173
10002,Bonavista--Burin--Trinity,Bonavista--Burin--Trinity,preliminary,préliminaires,Rogers,NA,Churence,Liberal,Libéral,14701,45.7,0,32173
10002,Bonavista--Burin--Trinity,Bonavista--Burin--Trinity,preliminary,préliminaires,Vokey,NA,Sharon,Conservative,Conservateur,12697,39.5,0,32173
10002,Bonavista--Burin--Trinity,Bonavista--Burin--Trinity,validated,validés,Cooper,NA,Matthew,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,3855,12,609,32788
10002,Bonavista--Burin--Trinity,Bonavista--Burin--Trinity,validated,validés,Reichel,NA,Kelsey,Green Party,Parti Vert,920,2.9,609,32788
10002,Bonavista--Burin--Trinity,Bonavista--Burin--Trinity,validated,validés,Rogers,NA,Churence,Liberal,Libéral,14707,45.7,609,32788
10002,Bonavista--Burin--Trinity,Bonavista--Burin--Trinity,validated,validés,Vokey,NA,Sharon,Conservative,Conservateur,12697,39.5,609,32788
10003,Coast of Bays--Central--Notre Dame,Coast of Bays--Central--Notre Dame,preliminary,préliminaires,Bracci,NA,Alex,Conservative,Conservateur,11695,35.5,0,32924
10003,Coast of Bays--Central--Notre Dame,Coast of Bays--Central--Notre Dame,preliminary,préliminaires,Joe,NA,Noel,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,4058,12.3,0,32924
10003,Coast of Bays--Central--Notre Dame,Coast of Bays--Central--Notre Dame,preliminary,préliminaires,Simms,NA,Scott,Liberal,Libéral,15861,48.2,0,32924
10003,Coast of Bays--Central--Notre Dame,Coast of Bays--Central--Notre Dame,preliminary,préliminaires,White,NA,Byron,Green Party,Parti Vert,1310,4,0,32924
10003,Coast of Bays--Central--Notre Dame,Coast of Bays--Central--Notre Dame,validated,validés,Bracci,NA,Alex,Conservative,Conservateur,12081,35.3,770,34952
10003,Coast of Bays--Central--Notre Dame,Coast of Bays--Central--Notre Dame,validated,validés,Joe,NA,Noel,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,4224,12.4,770,34952
10003,Coast of Bays--Central--Notre Dame,Coast of Bays--Central--Notre Dame,validated,validés,Simms,NA,Scott,Liberal,Libéral,16514,48.3,770,34952
10003,Coast of Bays--Central--Notre Dame,Coast of Bays--Central--Notre Dame,validated,validés,White,NA,Byron,Green Party,Parti Vert,1363,4,770,34952
10004,Labrador,Labrador,preliminary,préliminaires,Colbourne,NA,Tyler,Green Party,Parti Vert,224,2,0,11389
10004,Labrador,Labrador,preliminary,préliminaires,Flemming,NA,Larry,Conservative,Conservateur,3548,31.2,0,11389
10004,Labrador,Labrador,preliminary,préliminaires,Gray,NA,Michelene,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,2796,24.6,0,11389
10004,Labrador,Labrador,preliminary,préliminaires,Jones,NA,Yvonne,Liberal,Libéral,4821,42.3,0,11389
10004,Labrador,Labrador,validated,validés,Colbourne,NA,Tyler,Green Party,Parti Vert,224,2,139,11558
10004,Labrador,Labrador,validated,validés,Flemming,NA,Larry,Conservative,Conservateur,3548,31.1,139,11558
10004,Labrador,Labrador,validated,validés,Gray,NA,Michelene,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,2796,24.5,139,11558
10004,Labrador,Labrador,validated,validés,Jones,NA,Yvonne,Liberal,Libéral,4851,42.5,139,11558
10005,Long Range Mountains,Long Range Mountains,preliminary,préliminaires,Eisses,NA,Josh,Conservative,Conservateur,10874,28.3,0,38385
10005,Long Range Mountains,Long Range Mountains,preliminary,préliminaires,Hutchings,NA,Gudie,Liberal,Libéral,18182,47.4,0,38385
10005,Long Range Mountains,Long Range Mountains,preliminary,préliminaires,Knill,NA,Lucas,Green Party,Parti Vert,1326,3.5,0,38385
10005,Long Range Mountains,Long Range Mountains,preliminary,préliminaires,Miles,NA,Robert,VCP,CAC,409,1.1,0,38385
10005,Long Range Mountains,Long Range Mountains,preliminary,préliminaires,Pike,NA,Holly,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,7594,19.8,0,38385
10005,Long Range Mountains,Long Range Mountains,validated,validés,Eisses,NA,Josh,Conservative,Conservateur,10873,28.3,576,39002
10005,Long Range Mountains,Long Range Mountains,validated,validés,Hutchings,NA,Gudie,Liberal,Libéral,18199,47.4,576,39002
10005,Long Range Mountains,Long Range Mountains,validated,validés,Knill,NA,Lucas,Green Party,Parti Vert,1334,3.5,576,39002
10005,Long Range Mountains,Long Range Mountains,validated,validés,Miles,NA,Robert,VCP,CAC,411,1.1,576,39002
10005,Long Range Mountains,Long Range Mountains,validated,validés,Pike,NA,Holly,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,7609,19.8,576,39002
10006,St. John's East,St. John's-Est,preliminary,préliminaires,Harris,NA,Jack,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,21164,46.9,0,45130
10006,St. John's East,St. John's-Est,preliminary,préliminaires,Peters,NA,David,Green Party,Parti Vert,818,1.8,0,45130
10006,St. John's East,St. John's-Est,preliminary,préliminaires,Wall,NA,Joedy,Conservative,Conservateur,8187,18.1,0,45130
10006,St. John's East,St. John's-Est,preliminary,préliminaires,Whalen,NA,Nick,Liberal,Libéral,14961,33.2,0,45130
10006,St. John's East,St. John's-Est,validated,validés,Harris,NA,Jack,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,21148,46.9,528,45600
10006,St. John's East,St. John's-Est,validated,validés,Peters,NA,David,Green Party,Parti Vert,821,1.8,528,45600
10006,St. John's East,St. John's-Est,validated,validés,Wall,NA,Joedy,Conservative,Conservateur,8141,18.1,528,45600
10006,St. John's East,St. John's-Est,validated,validés,Whalen,NA,Nick,Liberal,Libéral,14962,33.2,528,45600
10007,St. John's South--Mount Pearl,St. John's-Sud--Mount Pearl,preliminary,préliminaires,Anonsen,NA,Anne Marie,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,10703,27.1,0,39514
10007,St. John's South--Mount Pearl,St. John's-Sud--Mount Pearl,preliminary,préliminaires,Hayward,NA,Alexandra,Green Party,Parti Vert,717,1.8,0,39514
10007,St. John's South--Mount Pearl,St. John's-Sud--Mount Pearl,preliminary,préliminaires,Jones,NA,David,Christian Heritage Party,Parti de l'Héritage Chrétien,137,0.3,0,39514
10007,St. John's South--Mount Pearl,St. John's-Sud--Mount Pearl,preliminary,préliminaires,Martin,NA,Terry,Conservative,Conservateur,7537,19.1,0,39514
10007,St. John's South--Mount Pearl,St. John's-Sud--Mount Pearl,preliminary,préliminaires,O'Regan,NA,Seamus,Liberal,Libéral,20094,50.9,0,39514
10007,St. John's South--Mount Pearl,St. John's-Sud--Mount Pearl,preliminary,préliminaires,Ruckpaul,NA,Benjamin,People's Party,Parti populaire,326,0.8,0,39514
10007,St. John's South--Mount Pearl,St. John's-Sud--Mount Pearl,validated,validés,Anonsen,NA,Anne Marie,NDP-New Democratic Party,NPD-Nouveau Parti démocratique,10890,26.8,592,41258
10007,St. John's South--Mount Pearl,St. John's-Sud--Mount Pearl,validated,validés,Hayward,NA,Alexandra,Green Party,Parti Vert,740,1.8,592,41258
10007,St. John's South--Mount Pearl,St. John's-Sud--Mount Pearl,validated,validés,Jones,NA,David,Christian Heritage Party,Parti de l'Héritage Chrétien,141,0.3,592,41258
10007,St. John's South--Mount Pearl,St. John's-Sud--Mount Pearl,validated,validés,Martin,NA,Terry,Conservative,Conservateur,7767,19.1,592,41258
10007,St. John's South--Mount Pearl,St. John's-Sud--Mount Pearl,validated,validés,O'Regan,NA,Seamus,Liberal,Libéral,20793,51.1,592,41258
