x1,sub_rmenu_code,code_description_3,x4,x5,srt_rmenu_code,code_description_7
1,EUAC,Air Conditioning,NA,1,ERAC,Air Conditioning
2,EUAL,Alternating Current,NA,2,ERBO,Body
3,EUATC,ATC RC&S Equipment,NA,3,ERCD,Consequential Delay (2nd Delay Same Fault)
4,EUBK,Brakes,NA,4,ERCO,Couplers
5,EUBO,Body,NA,5,ERDB,Disc Brakes
6,EUCA,Compressed Air,NA,6,ERDO,Door Problems - Faulty Equipment
7,EUCD,Consequential Delay (2nd Delay Same Fault),NA,7,ERHV,High Voltage
8,EUCH,Chopper Control,NA,8,ERLT,Lighting System
9,EUCO,Couplers,NA,9,ERLV,Low Voltage
10,EUDO,Door Problems - Faulty Equipment,NA,10,ERME,RC&S Maintenance Error - (Human)
11,EUECD,ECD / Line Mechanic Related Prob.,NA,11,ERNEA,No Equipment Available
12,EUHV,High Voltage,NA,12,ERNT,Equipment - No Trouble Found
13,EULT,Lighting System,NA,13,ERO,RC&S Other
14,EULV,Low Voltage,NA,14,ERPR,Propulsion System
15,EUME,RC&S Maintenance Error - (Human),NA,15,ERRA,Radio
16,EUNEA,No Equipment Available,NA,16,ERTB,Track Brakes
17,EUNT,Equipment - No Trouble Found,NA,17,ERTC,Train Control - VOBC
18,EUO,RC&S Other,NA,18,ERTL,Trainline System
19,EUOE,Rail Cars & Shops Opr. Error,NA,19,ERTR,Trucks
20,EUOPO,OPTO RC&S Non-Train Door Monitoring,NA,20,ERVE,Vehicle
21,EUPI,Propulsion System,NA,21,ERWA,Warning Alarm Systems
22,EUSC,Speed Control Equipment,NA,22,ERWS,Wind Shield
23,EUTL,Trainline System,NA,23,MRCL,Divisional Clerk Related
24,EUTM,Traction Motors,NA,24,MRD,Door Problems - Passenger Related
25,EUTR,Trucks,NA,25,MRDD,Door Problems - Debris Related
26,EUTRD,TR Cab Doors,NA,26,MREC,Misc. Engineering & Construction Related Problems
27,EUVA,Warning Alarm Systems,NA,27,MRESA,No Operator Immediately Available
28,EUVE,Work Vehicle,NA,28,MRFS,Fire/Smoke Plan B - Source External to TTC
