_id,ID,NAME,ADDRESS,ADDRESS_POINT_ID,ADDRESS_ID,CENTRELINE_ID,MAINT_STAGE,ADDRESS_NUMBER,LINEAR_NAME_FULL,POSTAL_CODE,GENERAL_USE,CLASS_FAMILY_DESC,ADDRESS_ID_LINK,PLACE_NAME,X,Y,LATITUDE,LONGITUDE,WARD_NAME,MUNICIPALITY_NAME,OBJECTID,geometry,lon,lat,geometry
1,21,FIRE STATION 211,900 TAPSCOTT RD,4236992,363382,4236991,REGULAR,900,Tapscott Rd,NA,Fire/Ambulance Stations,"Land, Structure, Structure Entrance",NA,"Fire Station 211, Ambulance Station 27",NA,NA,NA,NA,Scarborough North (23),Scarborough,1520443,"c(-79.2428700353868, 43.8239927252015)",-79.2428700353868,43.8239927252015,"c(-79.2428700353868, 43.8239927252015)"
2,60,FIRE STATION 342,106 ASCOT AVE,764237,70190,1140634,REGULAR,106,Ascot Ave,NA,Fire Station,"Land, Structure, Structure Entrance",NA,Fire Station 342,NA,NA,NA,NA,Davenport (9),former Toronto,1541526,"c(-79.4486262604651, 43.6793661319391)",-79.4486262604651,43.6793661319391,"c(-79.4486262604651, 43.6793661319391)"
3,61,FIRE STATION 343,65 HENDRICK AVE,819425,127148,1140587,REGULAR,65,Hendrick Ave,NA,Fire Station,"Land, Structure, Structure Entrance",NA,Fire Station 343,NA,NA,NA,NA,Toronto-St. Paul's (12),former Toronto,1543317,"c(-79.4307521572934, 43.6801051517752)",-79.4307521572934,43.6801051517752,"c(-79.4307521572934, 43.6801051517752)"
4,55,FIRE STATION 332,260 ADELAIDE ST W,12763904,484214,12763900,REGULAR,260,Adelaide St W,NA,Fire Station,"Land, Structure, Structure Entrance",NA,Fire Station 332 & South Command Offc,NA,NA,NA,NA,Spadina-Fort York (10),former Toronto,1558261,"c(-79.3895641902632, 43.6483065339531)",-79.3895641902632,43.6483065339531,"c(-79.3895641902632, 43.6483065339531)"
5,24,FIRE STATION 214,745 MEADOWVALE RD,6349868,357277,6349869,REGULAR,745,Meadowvale Rd,NA,Fire Station,"Land, Structure, Structure Entrance",NA,Fire Station 214,NA,NA,NA,NA,Scarborough-Rouge Park (25),Scarborough,1567567,"c(-79.1636016041726, 43.7942107669436)",-79.1636016041726,43.7942107669436,"c(-79.1636016041726, 43.7942107669436)"
6,74,FIRE STATION 426,140 LANSDOWNE AVE,10757599,157562,14674741,REGULAR,140,Lansdowne Ave,NA,Fire Station,"Land, Structure, Structure Entrance",NA,Fire Station 426,NA,NA,NA,NA,Parkdale-High Park (4),former Toronto,1578612,"c(-79.438866712795, 43.6450864408435)",-79.438866712795,43.6450864408435,"c(-79.438866712795, 43.6450864408435)"
7,70,FIRE STATION 422,590 JANE ST,7027887,48627,20004277,REGULAR,590,Jane St,NA,Fire/Ambulance Stations,"Land, Structure, Structure Entrance",NA,"Fire Station 422, Ambulance Station 31N",NA,NA,NA,NA,Parkdale-High Park (4),York,1605282,"c(-79.4909411711192, 43.6644021870805)",-79.4909411711192,43.6644021870805,"c(-79.4909411711192, 43.6644021870805)"
8,34,FIRE STATION 232,1550 MIDLAND AVE,2820826,299783,2820380,REGULAR,1550,Midland Ave,NA,Fire Station,"Land, Structure, Structure Entrance",NA,Fire Station 232,NA,NA,NA,NA,Scarborough Centre (21),Scarborough,1657015,"c(-79.2668510713279, 43.7549669455776)",-79.2668510713279,43.7549669455776,"c(-79.2668510713279, 43.7549669455776)"
9,7,FIRE STATION 121,10 WILLIAM CARSON CRES,4792285,416944,13971133,REGULAR,10,William Carson Cres,NA,Fire Station,"Land, Structure, Structure Entrance",NA,Fire Station 121,NA,NA,NA,NA,Don Valley West (15),North York,1662173,"c(-79.4067807494981, 43.7485400772289)",-79.4067807494981,43.7485400772289,"c(-79.4067807494981, 43.7485400772289)"
10,66,FIRE STATION 412,267 HUMBERLINE DR,7063061,473220,7063044,REGULAR,267,Humberline Dr,NA,Fire Station,"Land, Structure, Structure Entrance",NA,Fire Station 412,NA,NA,NA,NA,Etobicoke North (1),Etobicoke,1662239,"c(-79.6176378075318, 43.7381082893591)",-79.6176378075318,43.7381082893591,"c(-79.6176378075318, 43.7381082893591)"
