resp,fqweight,urban,region,age,educattgen,marstat,abortion,hdi,hdi_c
1,1.32109415531158,rural,north,26,primary/middle school,divorced or separated,0,0.475,-1.0409124148359898
2,1.51590502262115,rural,eastern,27,primary/middle school,currently married,1,0.526,-0.10762556240365462
3,0.267083436250687,urban,kampala,15,secondary/post-primary,divorced or separated,0,0.639,1.9602453067111254
4,2.40215873718262,rural,western,14,secondary/post-primary,never married,0,0.499,-0.6017186019266556
5,0.227233305573463,rural,karamoja,17,never attended,currently living with partner,0,0.45,-1.4984059699498786
6,1.3285745382309,rural,central 1,17,secondary/post-primary,currently living with partner,1,0.54,0.14857082846012368
7,1.42624497413635,rural,central 1,23,tertiary/post-secondary,currently living with partner,0,0.54,0.14857082846012368
8,1.91893446445465,rural,western,27,never attended,currently living with partner,0,0.499,-0.6017186019266556
9,0.371642619371414,rural,karamoja,22,never attended,currently married,0,0.45,-1.4984059699498786
10,1.18687474727631,rural,south west,28,primary/middle school,currently living with partner,0,0.518,-0.2540235000400994
11,0.474608927965164,urban,kampala,11,primary/middle school,never married,1,0.639,1.9602453067111254
12,0.403276950120926,rural,karamoja,21,never attended,currently married,0,0.45,-1.4984059699498786
13,1.91893446445465,rural,western,23,never attended,currently married,0,0.499,-0.6017186019266556
14,2.6398618221283,rural,central 1,18,primary/middle school,never married,0,0.54,0.14857082846012368
15,0,rural,eastern,13,tertiary/post-secondary,currently living with partner,0,0.526,-0.10762556240365462
16,2.01047205924988,rural,eastern,28,primary/middle school,currently married,1,0.526,-0.10762556240365462
17,1.74646699428558,rural,western,40,primary/middle school,currently married,0,0.499,-0.6017186019266556
18,0.413919627666473,urban,kampala,14,secondary/post-primary,currently living with partner,1,0.639,1.9602453067111254
19,0.663531422615051,rural,north,13,primary/middle school,currently living with partner,0,0.475,-1.0409124148359898
20,2.01047205924988,rural,eastern,21,primary/middle school,currently married,0,0.526,-0.10762556240365462
21,0.715515851974487,rural,east central,10,primary/middle school,currently living with partner,0,0.53,-0.03442659358543225
22,1.2542210817337,rural,eastern,11,primary/middle school,divorced or separated,0,0.526,-0.10762556240365462
23,0.21895606815815,urban,kampala,6,secondary/post-primary,never married,0,0.639,1.9602453067111254
24,0.405174255371094,rural,east central,31,never attended,divorced or separated,0,0.53,-0.03442659358543225
25,2.6398618221283,rural,central 1,13,secondary/post-primary,currently living with partner,0,0.54,0.14857082846012368
26,1.27499651908875,rural,central 2,13,primary/middle school,currently living with partner,0,0.586,0.990358969869679
27,1.07834649085999,rural,west nile,26,never attended,currently living with partner,0,0.486,-0.8396152505858784
28,1.18687474727631,rural,south west,9,primary/middle school,never married,0,0.518,-0.2540235000400994
29,0.21895606815815,urban,kampala,35,primary/middle school,divorced or separated,0,0.639,1.9602453067111254
30,1.41751039028168,urban,western,11,primary/middle school,divorced or separated,0,0.499,-0.6017186019266556
31,1.76136827468872,rural,central 2,28,primary/middle school,currently living with partner,0,0.586,0.990358969869679
32,1.91893446445465,rural,western,36,primary/middle school,currently living with partner,0,0.499,-0.6017186019266556
33,0.221876218914986,rural,karamoja,13,primary/middle school,currently living with partner,0,0.45,-1.4984059699498786
34,0.726765990257263,rural,west nile,18,primary/middle school,divorced or separated,0,0.486,-0.8396152505858784
35,0.184424161911011,rural,karamoja,20,primary/middle school,currently married,0,0.45,-1.4984059699498786
36,0.275290846824646,rural,karamoja,21,never attended,divorced or separated,0,0.45,-1.4984059699498786
37,0.652295649051666,rural,north,29,never attended,currently married,1,0.475,-1.0409124148359898
38,1.27590298652649,rural,central 2,13,secondary/post-primary,currently living with partner,0,0.586,0.990358969869679
39,0.413919627666473,urban,kampala,17,tertiary/post-secondary,never married,0,0.639,1.9602453067111254
40,1.27590298652649,rural,central 2,24,secondary/post-primary,currently married,0,0.586,0.990358969869679
41,1.00986623764038,rural,east central,41,primary/middle school,currently married,1,0.53,-0.03442659358543225
42,1.74646699428558,rural,western,7,secondary/post-primary,never married,0,0.499,-0.6017186019266556
43,0.771679103374481,rural,south west,20,secondary/post-primary,currently living with partner,0,0.518,-0.2540235000400994
44,1.08199954032898,rural,east central,7,primary/middle school,never married,0,0.53,-0.03442659358543225
45,0.963616847991943,rural,south west,28,primary/middle school,currently living with partner,0,0.518,-0.2540235000400994
46,2.11354660987854,rural,central 1,39,secondary/post-primary,divorced or separated,0,0.54,0.14857082846012368
47,0.732630848884583,rural,north,29,never attended,currently living with partner,0,0.475,-1.0409124148359898
48,0.474608927965164,urban,kampala,22,primary/middle school,currently living with partner,0,0.639,1.9602453067111254
49,0.515802502632141,rural,east central,14,primary/middle school,currently living with partner,0,0.53,-0.03442659358543225
50,0.515802502632141,rural,east central,17,primary/middle school,currently living with partner,0,0.53,-0.03442659358543225
51,1.32109415531158,rural,north,36,primary/middle school,currently married,0,0.475,-1.0409124148359898
52,1.17406678199768,rural,western,27,primary/middle school,currently living with partner,0,0.499,-0.6017186019266556
53,1.10726463794708,rural,west nile,13,primary/middle school,currently married,0,0.486,-0.8396152505858784
54,0.533455550670624,rural,south west,21,secondary/post-primary,never married,0,0.518,-0.2540235000400994
55,1.51590502262115,rural,eastern,15,primary/middle school,currently married,0,0.526,-0.10762556240365462
56,0.7029869556427,rural,north,29,never attended,currently married,0,0.475,-1.0409124148359898
57,0.97249847650528,rural,eastern,31,primary/middle school,currently living with partner,0,0.526,-0.10762556240365462
58,1.91893446445465,rural,western,15,primary/middle school,currently living with partner,0,0.499,-0.6017186019266556
59,0.771679103374481,rural,south west,20,secondary/post-primary,never married,0,0.518,-0.2540235000400994
60,1.74646699428558,rural,western,26,primary/middle school,currently married,0,0.499,-0.6017186019266556
61,2.01047205924988,rural,eastern,8,primary/middle school,currently married,0,0.526,-0.10762556240365462
62,1.3285745382309,rural,central 1,20,primary/middle school,currently living with partner,0,0.54,0.14857082846012368
63,0.459849834442139,rural,east central,29,never attended,currently married,0,0.53,-0.03442659358543225
64,1.2955139875412,urban,central 1,15,secondary/post-primary,never married,0,0.54,0.14857082846012368
65,0.405174255371094,rural,east central,14,secondary/post-primary,currently married,0,0.53,-0.03442659358543225
66,1.96849310398102,rural,central 1,12,tertiary/post-secondary,currently married,0,0.54,0.14857082846012368
67,2.35517024993896,rural,south west,14,tertiary/post-secondary,never married,0,0.518,-0.2540235000400994
68,0.652295649051666,rural,north,37,primary/middle school,currently living with partner,0,0.475,-1.0409124148359898
