user,month,comments
1,February,8
2,February,7
3,February,0
4,February,0
5,February,5
6,February,1
7,February,4
8,February,6
9,February,0
10,February,2
11,February,2
12,February,7
13,February,4
14,February,1
15,February,3
16,February,1
17,February,3
18,February,6
19,February,1
20,February,2
21,February,1
22,February,1
23,February,2
24,February,3
25,February,1
26,February,2
27,February,4
28,February,2
29,February,3
30,February,9
31,February,1
32,February,1
33,February,8
34,February,0
35,February,1
36,February,1
37,February,1
38,February,2
39,February,2
40,February,1
41,February,3
42,February,6
43,February,6
44,February,1
45,February,2
46,February,1
47,February,3
48,February,5
49,February,0
50,February,2
51,February,3
52,February,1
53,February,2
54,February,3
55,February,0
56,February,5
57,February,3
58,February,2
59,February,0
60,February,3
61,February,3
62,February,1
63,February,1
64,February,4
65,February,1
66,February,6
67,February,2
68,February,4
69,February,5
70,February,9
71,February,5
72,February,3
73,February,1
74,February,1
75,February,5
76,February,8
77,February,2
78,February,2
79,February,1
80,February,0
81,February,6
82,February,1
83,February,5
84,February,1
85,February,0
86,February,1
87,February,1
88,February,2
89,February,1
90,February,5
91,February,11
92,February,20
93,February,4
94,February,2
95,February,1
96,February,0
97,February,11
98,February,1
99,February,2
100,February,7
101,February,12
102,February,6
103,February,1
104,February,3
105,February,2
106,February,4
107,February,6
108,February,5
109,February,1
110,February,5
111,February,2
112,February,0
113,February,8
114,February,0
115,February,9
116,February,1
117,February,3
118,February,2
119,February,4
120,February,9
121,February,0
122,February,2
123,February,7
124,February,0
125,February,5
126,February,1
127,February,7
128,February,2
129,February,5
130,February,3
131,February,0
132,February,5
133,February,1
134,February,2
135,February,16
136,February,0
137,February,1
138,February,5
139,February,1
140,February,2
141,February,1
142,February,2
143,February,1
144,February,2
145,February,1
146,February,2
147,February,2
148,February,1
149,February,4
150,February,1
151,February,9
152,February,1
153,February,5
154,February,7
155,February,6
156,February,2
157,February,4
158,February,1
159,February,6
160,February,0
161,February,1
162,February,1
163,February,5
164,February,1
165,February,4
166,February,0
167,February,2
168,February,0
169,February,1
170,February,1
171,February,2
172,February,4
173,February,5
174,February,8
175,February,1
176,February,1
177,February,2
178,February,16
179,February,1
180,February,7
181,February,2
182,February,5
183,February,1
184,February,2
185,February,3
186,February,0
187,February,3
188,February,5
189,February,1
190,February,1
191,February,1
192,February,1
193,February,1
194,February,3
195,February,14
196,February,1
197,February,2
198,February,17
199,February,1
200,February,2
201,February,1
202,February,13
203,February,2
204,February,1
205,February,4
206,February,2
207,February,1
208,February,0
209,February,4
210,February,6
211,February,1
212,February,8
213,February,1
214,February,5
215,February,3
216,February,0
217,February,2
218,February,5
219,February,2
220,February,1
221,February,6
222,February,0
223,February,3
224,February,1
225,February,2
226,February,3
227,February,0
228,February,2
229,February,3
230,February,5
231,February,5
232,February,2
233,February,4
234,February,1
235,February,5
236,February,3
237,February,2
238,February,3
239,February,3
240,February,5
241,February,1
242,February,3
243,February,5
244,February,3
245,February,6
246,February,6
247,February,5
248,February,0
249,February,2
250,February,1
251,February,2
252,February,3
253,February,3
254,February,5
255,February,1
256,February,3
257,February,3
258,February,4
259,February,6
260,February,1
261,February,21
262,February,18
263,February,1
264,February,4
265,February,8
266,February,1
267,February,3
268,February,0
269,February,3
270,February,3
271,February,0
272,February,1
273,February,0
274,February,0
275,February,0
276,February,4
277,February,0
278,February,2
279,February,1
280,February,0
281,February,2
282,February,1
283,February,4
284,February,4
285,February,2
286,February,4
287,February,1
288,February,5
289,February,0
290,February,2
291,February,6
292,February,4
293,February,0
294,February,18
295,February,16
296,February,9
297,February,5
298,February,5
299,February,0
300,February,6
301,February,4
302,February,2
303,February,1
304,February,1
305,February,3
306,February,3
307,February,1
308,February,6
309,February,1
310,February,5
311,February,8
312,February,0
313,February,12
314,February,19
315,February,4
316,February,7
317,February,5
318,February,1
319,February,1
320,February,4
321,February,4
322,February,11
323,February,3
324,February,0
325,February,2
326,February,1
327,February,4
328,February,3
329,February,0
330,February,9
331,February,2
332,February,1
333,February,6
334,February,4
335,February,6
336,February,3
337,February,2
338,February,1
339,February,5
340,February,0
341,February,3
342,February,2
343,February,4
344,February,2
345,February,5
346,February,1
347,February,4
348,February,2
349,February,5
350,February,0
351,February,8
352,February,3
353,February,7
354,February,4
355,February,1
356,February,0
357,February,5
358,February,4
359,February,1
360,February,3
361,February,1
362,February,5
363,February,2
364,February,2
365,February,3
366,February,6
367,February,11
368,February,4
369,February,5
370,February,1
371,February,6
372,February,3
373,February,3
374,February,2
375,February,2
376,February,1
377,February,1
378,February,3
379,February,0
380,February,5
381,February,3
382,February,3
383,February,3
384,February,2
385,February,5
386,February,2
387,February,8
388,February,14
389,February,1
390,February,4
391,February,8
392,February,8
393,February,1
394,February,2
395,February,1
396,February,5
397,February,3
398,February,9
399,February,3
400,February,1
401,February,3
402,February,2
403,February,1
404,February,2
405,February,15
406,February,1
407,February,6
408,February,2
409,February,1
410,February,6
411,February,2
412,February,4
413,February,0
414,February,3
415,February,3
416,February,5
417,February,2
418,February,1
419,February,0
420,February,2
421,February,1
422,February,4
423,February,3
424,February,0
425,February,5
426,February,1
427,February,3
428,February,2
429,February,0
430,February,4
431,February,4
432,February,8
433,February,1
434,February,5
435,February,1
436,February,7
437,February,6
438,February,7
439,February,3
440,February,0
441,February,0
442,February,0
443,February,3
444,February,6
445,February,3
446,February,11
447,February,3
448,February,8
449,February,1
450,February,0
451,February,7
452,February,9
453,February,1
454,February,9
455,February,9
456,February,1
457,February,1
458,February,4
459,February,1
460,February,3
461,February,0
462,February,4
463,February,4
464,February,2
465,February,4
466,February,0
467,February,6
468,February,1
469,February,1
470,February,1
471,February,3
472,February,1
473,February,5
474,February,0
475,February,1
476,February,1
477,February,1
478,February,1
479,February,2
480,February,1
481,February,5
482,February,2
483,February,0
484,February,1
485,February,2
486,February,3
487,February,0
488,February,3
489,February,3
490,February,4
491,February,2
492,February,0
493,February,0
494,February,1
495,February,10
496,February,4
497,February,1
498,February,0
499,February,4
500,February,3
501,February,0
502,February,1
503,February,1
504,February,6
505,February,3
506,February,4
507,February,1
508,February,2
509,February,4
510,February,9
511,February,0
512,February,13
513,February,6
514,February,6
515,February,1
516,February,8
517,February,3
518,February,1
519,February,0
520,February,8
521,February,0
522,February,9
523,February,1
524,February,1
525,February,6
526,February,6
527,February,1
528,February,4
529,February,0
530,February,3
531,February,6
532,February,5
533,February,3
534,February,3
535,February,4
536,February,2
537,February,5
538,February,2
539,February,1
540,February,0
541,February,0
542,February,5
543,February,8
544,February,14
545,February,7
546,February,1
547,February,1
548,February,1
549,February,1
550,February,1
551,February,11
552,February,1
553,February,5
554,February,8
555,February,11
556,February,3
557,February,1
558,February,2
559,February,1
560,February,6
561,February,1
562,February,11
563,February,0
564,February,9
565,February,4
566,February,3
567,February,3
568,February,1
569,February,7
570,February,10
571,February,7
572,February,0
573,February,3
574,February,6
575,February,2
576,February,0
577,February,4
578,February,12
579,February,13
580,February,3
581,February,2
582,February,2
583,February,1
584,February,1
585,February,6
586,February,1
587,February,2
588,February,3
589,February,2
590,February,4
591,February,1
592,February,6
593,February,13
594,February,3
595,February,2
596,February,5
597,February,0
598,February,1
599,February,6
600,February,7
601,February,1
602,February,2
603,February,1
604,February,1
605,February,0
606,February,2
607,February,2
608,February,0
609,February,3
610,February,0
611,February,1
612,February,1
613,February,5
614,February,0
615,February,4
616,February,3
617,February,1
618,February,6
619,February,1
620,February,1
621,February,7
622,February,4
623,February,0
624,February,0
625,February,12
626,February,9
627,February,12
628,February,1
629,February,0
630,February,2
631,February,0
632,February,13
633,February,3
634,February,3
635,February,5
636,February,9
637,February,6
638,February,1
639,February,8
640,February,6
641,February,0
642,February,14
643,February,0
644,February,1
645,February,0
646,February,2
647,February,4
648,February,1
649,February,14
650,February,3
651,February,13
652,February,3
653,February,6
654,February,2
655,February,5
656,February,3
657,February,2
658,February,2
659,February,1
660,February,1
661,February,7
662,February,1
663,February,7
664,February,1
665,February,3
666,February,1
667,February,3
668,February,1
669,February,3
670,February,0
671,February,4
672,February,7
673,February,5
674,February,5
675,February,6
676,February,10
677,February,2
678,February,8
679,February,4
680,February,4
681,February,2
682,February,5
683,February,0
684,February,5
685,February,1
686,February,4
687,February,3
688,February,4
689,February,12
690,February,6
691,February,12
692,February,2
693,February,2
694,February,0
695,February,5
696,February,0
697,February,3
698,February,1
699,February,9
700,February,1
701,February,1
702,February,15
703,February,3
704,February,3
705,February,5
706,February,1
707,February,2
708,February,0
709,February,0
710,February,3
711,February,1
712,February,1
713,February,4
714,February,4
715,February,7
716,February,2
717,February,2
718,February,1
719,February,14
720,February,1
721,February,0
722,February,0
723,February,1
724,February,1
725,February,1
726,February,0
727,February,1
728,February,14
729,February,1
730,February,0
731,February,1
732,February,2
733,February,0
734,February,11
735,February,4
736,February,0
737,February,1
738,February,3
739,February,1
740,February,1
741,February,2
742,February,0
743,February,1
744,February,4
745,February,1
746,February,4
747,February,4
748,February,0
749,February,1
750,February,5
751,February,7
752,February,6
753,February,11
754,February,4
755,February,0
756,February,7
757,February,0
758,February,1
759,February,2
760,February,2
761,February,4
762,February,3
763,February,2
764,February,2
765,February,1
766,February,10
767,February,0
768,February,3
769,February,2
770,February,5
771,February,1
772,February,0
773,February,1
774,February,0
775,February,3
776,February,2
777,February,4
778,February,1
779,February,13
780,February,0
781,February,4
782,February,6
783,February,1
784,February,4
785,February,0
786,February,8
787,February,20
788,February,0
789,February,11
790,February,1
791,February,7
792,February,5
793,February,4
794,February,14
795,February,1
796,February,4
797,February,3
798,February,2
799,February,5
800,February,2
801,February,0
802,February,3
803,February,2
804,February,6
805,February,0
