user,month,comments
1,april,0
2,april,2
3,april,2
4,april,5
5,april,1
6,april,3
7,april,2
8,april,1
9,april,4
10,april,3
11,april,5
12,april,2
13,april,3
14,april,3
15,april,8
16,april,4
17,april,1
18,april,4
19,april,1
20,april,3
21,april,7
22,april,3
23,april,2
24,april,0
25,april,5
26,april,3
27,april,6
28,april,8
29,april,0
30,april,0
31,april,2
32,april,2
33,april,0
34,april,14
35,april,7
36,april,3
37,april,8
38,april,5
39,april,0
40,april,0
41,april,1
42,april,1
43,april,1
44,april,4
45,april,2
46,april,1
47,april,5
48,april,3
49,april,3
50,april,1
51,april,8
52,april,1
53,april,0
54,april,3
55,april,0
56,april,6
57,april,1
58,april,2
59,april,1
60,april,0
61,april,2
62,april,3
63,april,4
64,april,1
65,april,4
66,april,1
67,april,1
68,april,2
69,april,3
70,april,4
71,april,2
72,april,1
73,april,3
74,april,3
75,april,7
76,april,8
77,april,1
78,april,1
79,april,3
80,april,7
81,april,1
82,april,5
83,april,1
84,april,2
85,april,4
86,april,4
87,april,0
88,april,5
89,april,1
90,april,2
91,april,7
92,april,1
93,april,1
94,april,1
95,april,9
96,april,9
97,april,6
98,april,6
99,april,4
100,april,4
101,april,2
102,april,3
103,april,4
104,april,1
105,april,2
106,april,3
107,april,5
108,april,4
109,april,2
110,april,1
111,april,8
112,april,0
113,april,1
114,april,1
115,april,1
116,april,0
117,april,0
118,april,6
119,april,5
120,april,4
121,april,13
122,april,21
123,april,9
124,april,4
125,april,2
126,april,1
127,april,1
128,april,6
129,april,3
130,april,1
131,april,0
132,april,4
133,april,0
134,april,18
135,april,8
136,april,9
137,april,3
138,april,4
139,april,0
140,april,2
141,april,4
142,april,1
143,april,5
144,april,0
145,april,2
146,april,1
147,april,10
148,april,1
149,april,1
150,april,2
151,april,1
152,april,4
153,april,2
154,april,1
155,april,9
156,april,5
157,april,4
158,april,4
159,april,1
160,april,7
161,april,4
162,april,0
163,april,2
164,april,3
165,april,0
166,april,0
167,april,13
168,april,3
169,april,2
170,april,8
171,april,4
172,april,6
173,april,5
174,april,2
175,april,4
176,april,3
177,april,0
178,april,5
179,april,0
180,april,0
181,april,4
182,april,1
183,april,2
184,april,1
185,april,5
186,april,15
187,april,3
188,april,0
189,april,0
190,april,7
191,april,3
192,april,2
193,april,6
194,april,3
195,april,7
196,april,2
197,april,0
198,april,2
199,april,0
200,april,3
201,april,0
202,april,0
203,april,2
204,april,3
205,april,3
206,april,0
207,april,2
208,april,2
209,april,3
210,april,2
211,april,3
212,april,3
213,april,0
214,april,1
215,april,3
216,april,1
217,april,1
218,april,3
219,april,1
220,april,4
221,april,16
222,april,7
223,april,3
224,april,5
225,april,1
226,april,7
227,april,3
228,april,0
229,april,3
230,april,3
231,april,0
232,april,0
233,april,5
234,april,11
235,april,4
236,april,4
237,april,10
238,april,1
239,april,1
240,april,12
241,april,2
242,april,0
243,april,4
244,april,2
245,april,0
246,april,1
247,april,1
248,april,1
249,april,0
250,april,5
251,april,1
252,april,10
