user,month,comments
1,december,4
2,december,0
3,december,5
4,december,1
5,december,14
6,december,4
7,december,4
8,december,8
9,december,8
10,december,4
11,december,2
12,december,1
13,december,6
14,december,3
15,december,2
16,december,8
17,december,3
18,december,4
19,december,3
20,december,6
21,december,8
22,december,2
23,december,7
24,december,5
25,december,7
26,december,4
27,december,5
28,december,10
29,december,1
30,december,1
31,december,5
32,december,4
33,december,0
34,december,4
35,december,2
36,december,0
37,december,2
38,december,1
39,december,2
40,december,1
41,december,1
42,december,1
43,december,6
44,december,1
45,december,3
46,december,1
47,december,2
48,december,0
49,december,5
50,december,3
51,december,6
52,december,6
53,december,0
54,december,4
55,december,8
56,december,2
57,december,7
58,december,0
59,december,0
60,december,12
61,december,3
62,december,2
63,december,2
64,december,5
65,december,1
66,december,1
67,december,2
68,december,10
69,december,3
70,december,3
71,december,6
72,december,7
73,december,2
74,december,5
75,december,2
76,december,0
77,december,1
78,december,6
79,december,3
80,december,2
81,december,5
82,december,2
83,december,7
84,december,0
85,december,2
86,december,1
87,december,1
88,december,8
89,december,5
90,december,1
91,december,6
92,december,3
93,december,3
94,december,3
95,december,1
96,december,3
97,december,1
98,december,3
99,december,2
100,december,10
101,december,0
102,december,4
103,december,5
104,december,1
105,december,1
106,december,5
107,december,10
108,december,5
109,december,0
110,december,3
111,december,11
112,december,4
113,december,2
114,december,9
115,december,2
116,december,3
117,december,0
118,december,7
119,december,9
120,december,4
121,december,5
122,december,11
123,december,0
124,december,2
125,december,2
126,december,3
127,december,1
128,december,5
129,december,1
130,december,5
131,december,1
132,december,13
133,december,2
134,december,2
135,december,0
136,december,4
137,december,7
138,december,4
139,december,9
140,december,0
141,december,0
142,december,2
143,december,0
144,december,1
145,december,2
146,december,1
147,december,5
148,december,2
149,december,1
150,december,0
151,december,1
152,december,9
153,december,3
154,december,1
155,december,1
156,december,0
157,december,3
158,december,0
159,december,4
160,december,4
161,december,3
162,december,1
163,december,8
164,december,1
165,december,5
166,december,2
167,december,1
168,december,2
169,december,4
170,december,1
171,december,3
172,december,0
173,december,1
174,december,8
175,december,18
176,december,1
177,december,4
178,december,6
179,december,1
180,december,0
181,december,3
182,december,6
183,december,5
184,december,0
185,december,3
186,december,4
187,december,5
188,december,1
189,december,0
190,december,1
191,december,0
192,december,17
193,december,1
194,december,3
195,december,1
196,december,0
197,december,2
198,december,7
199,december,11
200,december,2
201,december,2
202,december,0
203,december,2
204,december,1
205,december,0
206,december,0
207,december,3
208,december,9
209,december,6
210,december,5
211,december,1
212,december,1
213,december,8
214,december,2
215,december,0
216,december,1
217,december,23
218,december,5
219,december,4
220,december,2
221,december,0
222,december,2
223,december,6
224,december,7
225,december,2
226,december,1
227,december,3
228,december,3
229,december,3
230,december,2
231,december,4
232,december,2
233,december,1
234,december,5
235,december,1
236,december,2
237,december,2
238,december,10
239,december,1
240,december,1
241,december,0
242,december,5
