user,month,comments
1,july,2
2,july,0
3,july,3
4,july,4
5,july,2
6,july,1
7,july,2
8,july,0
9,july,1
10,july,2
11,july,1
12,july,7
13,july,5
14,july,1
15,july,4
16,july,1
17,july,1
18,july,2
19,july,1
20,july,3
21,july,0
22,july,5
23,july,13
24,july,0
25,july,1
26,july,1
27,july,0
28,july,4
29,july,5
30,july,5
31,july,1
32,july,3
33,july,3
34,july,3
35,july,4
36,july,4
37,july,6
38,july,6
39,july,2
40,july,13
41,july,8
42,july,8
43,july,3
44,july,5
45,july,0
46,july,3
47,july,0
48,july,6
49,july,0
50,july,3
51,july,1
52,july,1
53,july,0
54,july,2
55,july,3
56,july,2
57,july,3
58,july,1
59,july,3
60,july,2
61,july,2
62,july,4
63,july,4
64,july,2
65,july,4
66,july,1
67,july,1
68,july,3
69,july,1
70,july,2
71,july,2
72,july,5
73,july,1
74,july,1
75,july,1
76,july,5
77,july,2
78,july,1
79,july,2
80,july,5
81,july,7
82,july,0
83,july,7
84,july,4
85,july,9
86,july,2
87,july,5
88,july,2
89,july,1
90,july,2
91,july,2
92,july,2
93,july,3
94,july,1
95,july,8
96,july,2
97,july,3
98,july,4
99,july,0
100,july,1
101,july,0
102,july,14
103,july,4
104,july,5
105,july,3
106,july,1
107,july,2
108,july,1
109,july,0
110,july,9
111,july,10
112,july,0
113,july,0
114,july,5
115,july,1
116,july,2
117,july,1
118,july,6
119,july,4
120,july,1
121,july,6
122,july,0
123,july,2
124,july,1
125,july,2
126,july,0
127,july,1
128,july,1
129,july,4
130,july,1
131,july,1
132,july,2
133,july,2
134,july,13
135,july,1
136,july,1
137,july,2
138,july,1
139,july,4
140,july,6
141,july,0
142,july,2
143,july,4
144,july,8
145,july,1
146,july,6
147,july,4
148,july,3
149,july,5
150,july,1
151,july,2
152,july,4
153,july,2
154,july,0
155,july,2
156,july,2
157,july,4
158,july,6
159,july,3
160,july,3
161,july,8
162,july,2
163,july,4
164,july,3
165,july,9
166,july,17
167,july,8
168,july,0
169,july,1
170,july,1
171,july,7
172,july,1
173,july,3
174,july,1
175,july,7
176,july,1
177,july,9
178,july,0
179,july,2
180,july,3
181,july,1
182,july,8
183,july,1
184,july,0
185,july,1
186,july,3
187,july,9
188,july,6
189,july,1
190,july,0
191,july,9
192,july,1
193,july,0
194,july,3
195,july,2
196,july,0
197,july,0
198,july,1
199,july,5
200,july,2
201,july,2
