user,month,comments
1,june,1
2,june,4
3,june,6
4,june,4
5,june,0
6,june,1
7,june,3
8,june,4
9,june,3
10,june,3
11,june,1
12,june,1
13,june,9
14,june,1
15,june,2
16,june,1
17,june,0
18,june,0
19,june,3
20,june,3
21,june,1
22,june,2
23,june,1
24,june,5
25,june,1
26,june,1
27,june,2
28,june,1
29,june,0
30,june,2
31,june,5
32,june,1
33,june,1
34,june,14
35,june,9
36,june,10
37,june,0
38,june,4
39,june,0
40,june,8
41,june,10
42,june,1
43,june,9
44,june,1
45,june,0
46,june,0
47,june,1
48,june,2
49,june,2
50,june,0
51,june,3
52,june,4
53,june,2
54,june,4
55,june,1
56,june,1
57,june,1
58,june,4
59,june,2
60,june,4
61,june,0
62,june,6
63,june,2
64,june,3
65,june,1
66,june,3
67,june,1
68,june,0
69,june,2
70,june,2
71,june,8
72,june,1
73,june,4
74,june,1
75,june,14
76,june,6
77,june,8
78,june,0
79,june,3
80,june,5
81,june,0
82,june,0
83,june,3
84,june,7
85,june,6
86,june,3
87,june,2
88,june,4
89,june,7
90,june,5
91,june,1
92,june,6
93,june,2
94,june,9
95,june,6
96,june,4
97,june,3
98,june,4
99,june,2
100,june,2
101,june,1
102,june,1
103,june,5
104,june,8
105,june,4
106,june,1
107,june,3
108,june,1
109,june,2
110,june,1
111,june,0
112,june,0
113,june,1
114,june,3
115,june,4
116,june,2
117,june,0
118,june,3
119,june,1
120,june,0
121,june,3
122,june,9
123,june,5
124,june,4
125,june,1
126,june,2
127,june,6
128,june,1
129,june,3
130,june,0
131,june,2
132,june,1
133,june,2
134,june,2
135,june,6
136,june,5
137,june,1
138,june,0
139,june,11
140,june,2
141,june,7
142,june,0
143,june,0
144,june,10
145,june,1
146,june,1
147,june,4
148,june,2
149,june,0
150,june,4
151,june,1
152,june,4
153,june,17
154,june,6
155,june,2
156,june,1
157,june,3
158,june,2
159,june,1
160,june,5
161,june,2
162,june,4
163,june,1
164,june,1
165,june,9
166,june,3
167,june,1
168,june,1
169,june,12
170,june,1
171,june,3
172,june,4
173,june,0
174,june,8
175,june,3
176,june,1
177,june,0
178,june,7
179,june,1
180,june,2
181,june,0
182,june,1
183,june,1
184,june,3
185,june,0
186,june,1
187,june,1
188,june,5
189,june,1
190,june,4
191,june,2
192,june,6
193,june,1
194,june,14
195,june,2
196,june,2
197,june,6
198,june,5
199,june,0
200,june,3
201,june,5
202,june,8
203,june,1
204,june,4
205,june,8
206,june,3
207,june,2
208,june,5
209,june,3
210,june,1
211,june,3
212,june,1
213,june,1
214,june,0
215,june,1
216,june,4
217,june,1
218,june,7
219,june,6
220,june,3
221,june,6
222,june,7
223,june,0
224,june,2
225,june,0
226,june,0
227,june,5
228,june,0
229,june,6
230,june,12
231,june,5
232,june,2
233,june,0
234,june,6
235,june,0
236,june,5
237,june,2
238,june,1
239,june,1
240,june,3
241,june,1
242,june,7
243,june,7
244,june,2
245,june,2
246,june,7
247,june,3
248,june,0
249,june,0
250,june,4
251,june,0
252,june,3
253,june,2
254,june,2
255,june,4
256,june,1
257,june,1
258,june,3
259,june,2
260,june,0
261,june,2
262,june,1
263,june,1
264,june,4
265,june,1
266,june,1
267,june,2
268,june,6
269,june,5
270,june,0
271,june,2
272,june,8
273,june,4
274,june,7
275,june,1
276,june,9
277,june,0
278,june,0
279,june,2
280,june,1
281,june,4
282,june,0
283,june,2
284,june,1
285,june,5
286,june,10
287,june,0
288,june,2
289,june,9
290,june,2
291,june,3
292,june,3
293,june,3
294,june,0
295,june,2
296,june,6
297,june,2
298,june,8
299,june,7
300,june,1
301,june,3
302,june,4
303,june,0
304,june,1
305,june,1
306,june,3
307,june,4
308,june,2
309,june,0
310,june,4
311,june,8
312,june,1
313,june,1
314,june,1
315,june,0
316,june,2
317,june,10
318,june,6
319,june,0
320,june,1
321,june,8
322,june,3
323,june,1
324,june,4
325,june,2
326,june,10
327,june,3
328,june,6
329,june,2
330,june,3
331,june,1
332,june,4
333,june,5
334,june,1
335,june,5
336,june,0
337,june,1
338,june,4
339,june,4
340,june,0
341,june,1
342,june,11
343,june,3
344,june,2
345,june,0
346,june,9
347,june,2
348,june,0
349,june,1
350,june,1
351,june,5
352,june,7
353,june,5
354,june,3
355,june,2
356,june,1
357,june,0
358,june,13
359,june,7
360,june,4
361,june,2
362,june,11
363,june,6
364,june,0
365,june,1
366,june,8
367,june,3
368,june,3
369,june,0
370,june,1
371,june,9
372,june,1
373,june,1
374,june,3
375,june,5
376,june,1
377,june,7
378,june,1
379,june,3
380,june,1
381,june,3
382,june,4
383,june,2
384,june,1
385,june,4
386,june,0
387,june,4
388,june,2
389,june,11
390,june,0
391,june,3
392,june,6
393,june,5
394,june,4
395,june,1
396,june,4
397,june,3
398,june,0
399,june,10
400,june,8
401,june,0
402,june,7
403,june,3
404,june,1
405,june,23
406,june,2
407,june,0
408,june,1
409,june,1
410,june,4
411,june,0
412,june,3
413,june,2
414,june,9
415,june,0
416,june,18
417,june,0
418,june,20
419,june,1
420,june,12
421,june,10
422,june,2
423,june,2
424,june,5
425,june,2
426,june,1
427,june,1
428,june,1
429,june,1
430,june,2
431,june,3
432,june,4
433,june,2
434,june,5
435,june,0
436,june,0
437,june,3
438,june,9
439,june,1
440,june,0
441,june,11
442,june,1
443,june,1
444,june,1
445,june,12
446,june,0
447,june,0
448,june,3
449,june,5
450,june,9
451,june,5
452,june,2
453,june,3
454,june,0
455,june,6
456,june,10
457,june,2
458,june,12
459,june,2
460,june,2
461,june,2
462,june,1
