user,month,comments
1,march,1
2,march,12
3,march,6
4,march,6
5,march,2
6,march,0
7,march,0
8,march,6
9,march,10
10,march,1
11,march,2
12,march,1
13,march,2
14,march,7
15,march,3
16,march,4
17,march,2
18,march,1
19,march,8
20,march,0
21,march,6
22,march,0
23,march,0
24,march,0
25,march,5
26,march,2
27,march,6
28,march,3
29,march,1
30,march,1
31,march,2
32,march,1
33,march,11
34,march,3
35,march,3
36,march,3
37,march,1
38,march,1
39,march,3
40,march,5
41,march,3
42,march,2
43,march,4
44,march,3
45,march,2
46,march,0
47,march,4
48,march,1
49,march,5
50,march,4
51,march,1
52,march,0
53,march,0
54,march,4
55,march,4
56,march,1
57,march,1
58,march,6
59,march,5
60,march,2
61,march,1
62,march,6
63,march,8
64,march,3
65,march,5
66,march,5
67,march,2
68,march,5
69,march,1
70,march,1
71,march,3
72,march,3
73,march,3
74,march,6
75,march,1
76,march,0
77,march,1
78,march,8
79,march,10
80,march,2
81,march,7
82,march,3
83,march,9
84,march,0
85,march,1
86,march,12
87,march,3
88,march,3
89,march,2
90,march,1
91,march,0
92,march,3
93,march,15
94,march,8
95,march,1
96,march,1
97,march,6
98,march,2
99,march,6
100,march,0
101,march,0
102,march,1
103,march,3
104,march,4
105,march,1
106,march,11
107,march,15
108,march,0
109,march,4
110,march,3
111,march,2
112,march,1
113,march,1
114,march,2
115,march,2
116,march,0
117,march,3
118,march,0
119,march,2
120,march,2
121,march,2
122,march,1
123,march,2
124,march,1
125,march,1
126,march,16
127,march,0
128,march,24
129,march,1
130,march,0
131,march,2
132,march,7
133,march,4
134,march,6
135,march,0
136,march,8
137,march,2
138,march,1
139,march,8
140,march,2
141,march,2
142,march,0
143,march,0
144,march,0
145,march,14
146,march,2
147,march,3
148,march,0
149,march,1
150,march,7
151,march,2
152,march,1
153,march,2
154,march,1
155,march,13
156,march,4
157,march,3
158,march,2
159,march,4
160,march,1
161,march,9
162,march,2
163,march,8
164,march,14
165,march,9
166,march,0
167,march,4
168,march,4
169,march,6
170,march,0
171,march,2
172,march,0
173,march,3
174,march,5
175,march,2
176,march,0
177,march,5
178,march,3
179,march,2
180,march,3
181,march,7
182,march,5
183,march,6
184,march,0
185,march,1
186,march,1
187,march,3
188,march,1
189,march,4
190,march,4
191,march,3
192,march,1
193,march,0
194,march,1
195,march,0
196,march,7
197,march,1
198,march,2
199,march,4
200,march,5
201,march,3
202,march,0
203,march,4
204,march,1
205,march,2
206,march,0
207,march,5
208,march,1
209,march,1
210,march,3
211,march,3
212,march,10
213,march,4
214,march,3
215,march,0
216,march,3
217,march,3
218,march,3
219,march,8
220,march,8
221,march,7
222,march,0
223,march,2
224,march,2
225,march,4
226,march,1
227,march,12
228,march,15
229,march,9
230,march,2
231,march,7
232,march,6
233,march,2
234,march,3
235,march,1
236,march,8
237,march,3
238,march,1
239,march,5
240,march,3
241,march,2
242,march,3
243,march,1
244,march,1
245,march,2
246,march,5
247,march,1
248,march,3
249,march,2
250,march,0
251,march,0
252,march,1
253,march,8
254,march,10
255,march,1
256,march,2
257,march,11
258,march,1
259,march,1
260,march,2
261,march,4
262,march,0
263,march,3
264,march,4
265,march,1
266,march,3
267,march,3
268,march,6
269,march,2
270,march,1
271,march,2
272,march,0
273,march,1
274,march,0
275,march,2
276,march,2
277,march,0
278,march,1
279,march,3
280,march,13
281,march,2
282,march,1
283,march,9
284,march,7
285,march,0
286,march,1
287,march,3
288,march,0
289,march,2
290,march,2
291,march,0
292,march,0
293,march,0
294,march,1
295,march,2
296,march,0
297,march,1
298,march,6
299,march,1
300,march,2
301,march,7
302,march,3
303,march,2
304,march,6
305,march,3
306,march,1
307,march,0
308,march,2
309,march,0
310,march,7
311,march,4
312,march,1
313,march,13
314,march,4
315,march,4
316,march,4
317,march,3
318,march,3
319,march,4
320,march,5
321,march,1
322,march,16
323,march,1
324,march,2
325,march,2
326,march,7
327,march,1
328,march,2
329,march,12
330,march,14
331,march,0
332,march,10
333,march,1
334,march,0
335,march,1
336,march,0
337,march,2
338,march,2
339,march,1
340,march,2
341,march,1
342,march,1
343,march,3
344,march,1
345,march,2
346,march,5
347,march,12
348,march,1
349,march,1
350,march,3
351,march,2
352,march,3
353,march,7
354,march,2
355,march,2
356,march,0
357,march,1
358,march,3
359,march,2
360,march,0
361,march,2
362,march,1
363,march,4
364,march,12
365,march,0
366,march,17
367,march,4
368,march,5
369,march,2
370,march,9
371,march,2
372,march,6
373,march,2
374,march,1
375,march,3
376,march,0
377,march,0
378,march,1
379,march,2
380,march,0
381,march,8
382,march,3
383,march,0
384,march,1
385,march,4
386,march,3
387,march,3
388,march,5
389,march,4
390,march,2
391,march,1
392,march,1
393,march,2
394,march,0
395,march,1
396,march,2
397,march,2
398,march,7
399,march,1
400,march,1
401,march,1
402,march,1
403,march,0
404,march,4
405,march,0
406,march,1
407,march,0
408,march,3
409,march,2
410,march,0
411,march,3
412,march,1
413,march,0
414,march,13
415,march,3
416,march,3
417,march,7
418,march,3
419,march,3
420,march,1
421,march,6
422,march,7
423,march,2
424,march,5
425,march,1
426,march,2
427,march,10
428,march,1
429,march,5
430,march,0
431,march,3
432,march,6
433,march,5
434,march,13
435,march,5
436,march,1
437,march,1
438,march,1
439,march,1
440,march,1
441,march,2
442,march,3
443,march,1
444,march,0
445,march,1
446,march,11
447,march,13
448,march,13
449,march,0
450,march,4
451,march,0
452,march,9
453,march,0
454,march,1
455,march,2
456,march,3
457,march,4
458,march,6
459,march,3
460,march,0
461,march,2
462,march,2
463,march,11
464,march,9
465,march,9
466,march,7
467,march,4
468,march,0
469,march,3
470,march,2
471,march,2
472,march,1
473,march,3
474,march,1
475,march,0
476,march,1
477,march,6
478,march,0
479,march,1
480,march,3
481,march,2
482,march,3
483,march,1
484,march,5
485,march,5
486,march,0
487,march,1
488,march,1
489,march,6
490,march,4
491,march,2
492,march,6
