user,month,comments
1,may,2
2,may,0
3,may,2
4,may,0
5,may,4
6,may,1
7,may,1
8,may,1
9,may,1
10,may,6
11,may,0
12,may,4
13,may,3
14,may,1
15,may,7
16,may,3
17,may,1
18,may,3
19,may,1
20,may,4
21,may,0
22,may,3
23,may,3
24,may,2
25,may,3
26,may,5
27,may,0
28,may,1
29,may,1
30,may,1
31,may,4
32,may,4
33,may,2
34,may,2
35,may,1
36,may,6
37,may,3
38,may,0
39,may,5
40,may,8
41,may,3
42,may,5
43,may,1
44,may,2
45,may,1
46,may,1
47,may,2
48,may,1
49,may,1
50,may,0
51,may,1
52,may,6
53,may,0
54,may,1
55,may,3
56,may,4
57,may,6
58,may,5
59,may,0
60,may,14
61,may,0
62,may,3
63,may,4
64,may,2
65,may,4
66,may,1
67,may,1
68,may,3
69,may,2
70,may,0
71,may,1
72,may,6
73,may,6
74,may,0
75,may,8
76,may,0
77,may,1
78,may,1
79,may,1
80,may,9
81,may,7
82,may,3
83,may,2
84,may,1
85,may,3
86,may,1
87,may,3
88,may,1
89,may,1
90,may,7
91,may,1
92,may,2
93,may,1
94,may,2
95,may,6
96,may,3
97,may,0
98,may,10
99,may,8
100,may,3
101,may,0
102,may,1
103,may,5
104,may,5
105,may,4
106,may,4
107,may,3
108,may,9
109,may,3
110,may,1
111,may,6
112,may,2
113,may,4
114,may,3
115,may,4
116,may,0
117,may,2
118,may,2
119,may,4
120,may,1
121,may,7
122,may,2
123,may,3
124,may,0
125,may,22
126,may,16
127,may,4
128,may,0
129,may,4
130,may,5
131,may,2
132,may,3
133,may,1
134,may,2
135,may,6
136,may,4
137,may,3
138,may,0
139,may,5
140,may,4
141,may,2
142,may,1
143,may,3
144,may,3
145,may,1
146,may,1
147,may,2
148,may,2
149,may,7
150,may,8
151,may,0
152,may,0
153,may,2
154,may,4
155,may,4
156,may,8
157,may,7
158,may,0
159,may,2
160,may,2
161,may,2
162,may,6
163,may,2
164,may,0
165,may,1
166,may,2
167,may,4
168,may,0
169,may,2
170,may,1
171,may,0
172,may,1
173,may,3
174,may,2
175,may,0
176,may,3
177,may,2
178,may,5
179,may,7
180,may,1
181,may,1
182,may,3
183,may,0
184,may,4
185,may,3
186,may,2
187,may,0
188,may,3
189,may,3
190,may,0
191,may,2
192,may,3
193,may,7
194,may,4
195,may,8
196,may,2
197,may,3
198,may,4
199,may,0
200,may,0
201,may,0
202,may,8
203,may,7
204,may,17
205,may,1
206,may,1
207,may,5
208,may,2
209,may,3
210,may,0
211,may,6
212,may,1
213,may,4
214,may,3
215,may,9
216,may,7
217,may,0
218,may,1
219,may,0
220,may,5
221,may,0
222,may,5
223,may,1
224,may,1
225,may,3
226,may,7
227,may,1
228,may,4
229,may,1
230,may,2
231,may,1
232,may,1
233,may,3
234,may,3
235,may,2
236,may,1
237,may,7
238,may,4
239,may,2
240,may,5
241,may,1
242,may,5
243,may,5
244,may,4
245,may,7
246,may,6
247,may,1
248,may,6
249,may,10
250,may,1
251,may,8
252,may,3
253,may,4
254,may,3
255,may,4
256,may,4
257,may,5
258,may,2
259,may,7
260,may,3
261,may,2
262,may,0
263,may,1
264,may,1
265,may,1
266,may,4
267,may,2
268,may,6
269,may,1
270,may,1
271,may,2
272,may,0
273,may,4
274,may,5
275,may,1
276,may,1
277,may,2
278,may,0
279,may,4
280,may,0
281,may,5
282,may,1
283,may,9
284,may,0
285,may,1
286,may,4
287,may,7
288,may,3
289,may,1
290,may,5
291,may,8
292,may,3
293,may,2
294,may,5
295,may,20
296,may,2
297,may,1
298,may,1
299,may,3
300,may,11
301,may,3
302,may,5
303,may,7
304,may,0
305,may,0
306,may,6
307,may,0
308,may,11
309,may,3
310,may,3
311,may,5
312,may,0
313,may,3
314,may,0
315,may,9
316,may,0
317,may,2
318,may,1
319,may,1
320,may,0
321,may,2
322,may,1
323,may,3
324,may,3
325,may,8
326,may,2
327,may,3
328,may,0
329,may,16
330,may,2
331,may,3
332,may,0
333,may,1
334,may,5
335,may,14
336,may,0
337,may,2
338,may,2
339,may,5
340,may,3
341,may,1
342,may,0
343,may,3
344,may,0
