user,month,comments
1,november,0
2,november,1
3,november,15
4,november,6
5,november,4
6,november,0
7,november,4
8,november,1
9,november,4
10,november,2
11,november,3
12,november,1
13,november,3
14,november,0
15,november,1
16,november,10
17,november,0
18,november,4
19,november,0
20,november,5
21,november,6
22,november,0
23,november,2
24,november,4
25,november,3
26,november,6
27,november,5
28,november,5
29,november,2
30,november,2
31,november,6
32,november,2
33,november,0
34,november,3
35,november,1
36,november,2
37,november,0
38,november,3
39,november,2
40,november,0
41,november,2
42,november,6
43,november,2
44,november,1
45,november,2
46,november,0
47,november,10
48,november,1
49,november,4
50,november,2
51,november,4
52,november,1
53,november,1
54,november,1
55,november,1
56,november,1
57,november,3
58,november,8
59,november,4
60,november,1
61,november,3
62,november,4
63,november,2
64,november,2
65,november,3
66,november,1
67,november,2
68,november,4
69,november,4
70,november,1
71,november,4
72,november,1
73,november,2
74,november,2
75,november,10
76,november,1
77,november,0
78,november,7
79,november,2
80,november,2
81,november,2
82,november,1
83,november,1
84,november,11
85,november,1
86,november,8
87,november,2
88,november,2
89,november,1
90,november,4
91,november,4
92,november,9
93,november,2
94,november,2
95,november,4
96,november,3
97,november,7
98,november,0
99,november,2
100,november,3
101,november,1
102,november,8
103,november,5
104,november,3
105,november,2
106,november,4
107,november,1
108,november,3
109,november,7
110,november,4
111,november,6
112,november,3
113,november,0
114,november,1
115,november,5
116,november,3
117,november,6
118,november,4
119,november,0
120,november,0
121,november,2
122,november,0
123,november,7
124,november,1
125,november,2
126,november,2
127,november,3
128,november,1
129,november,4
130,november,1
131,november,12
132,november,0
133,november,5
134,november,5
135,november,1
136,november,2
137,november,2
138,november,1
139,november,0
140,november,5
141,november,4
142,november,2
143,november,0
144,november,7
145,november,4
146,november,3
147,november,2
148,november,1
149,november,6
150,november,1
151,november,0
152,november,2
153,november,1
154,november,7
155,november,1
156,november,7
157,november,0
158,november,5
159,november,1
160,november,5
161,november,6
162,november,1
163,november,4
164,november,2
165,november,4
166,november,6
167,november,4
168,november,3
169,november,3
170,november,0
171,november,0
172,november,3
173,november,5
174,november,4
175,november,1
176,november,0
177,november,0
178,november,0
179,november,0
180,november,2
181,november,8
182,november,2
183,november,2
184,november,1
185,november,3
186,november,8
187,november,1
188,november,2
189,november,3
190,november,0
191,november,3
192,november,1
193,november,1
194,november,0
195,november,0
196,november,5
197,november,2
198,november,1
199,november,2
200,november,4
201,november,2
202,november,13
203,november,1
204,november,0
205,november,4
206,november,2
207,november,0
208,november,7
209,november,0
210,november,1
211,november,2
212,november,1
213,november,5
214,november,4
215,november,3
216,november,6
217,november,2
218,november,1
219,november,0
220,november,3
221,november,1
222,november,9
223,november,2
224,november,7
225,november,2
226,november,14
227,november,0
228,november,2
229,november,1
230,november,0
231,november,0
232,november,0
233,november,6
234,november,2
235,november,1
236,november,0
237,november,4
238,november,9
239,november,2
240,november,3
241,november,4
242,november,1
243,november,14
244,november,9
245,november,0
246,november,3
247,november,4
248,november,1
249,november,6
250,november,3
251,november,0
252,november,2
253,november,4
254,november,4
255,november,1
256,november,5
257,november,4
258,november,0
259,november,2
260,november,3
261,november,0
262,november,2
263,november,0
264,november,2
265,november,2
266,november,0
267,november,6
268,november,0
269,november,8
270,november,0
271,november,5
272,november,4
273,november,1
274,november,4
275,november,3
276,november,9
277,november,2
278,november,1
279,november,4
280,november,8
281,november,5
282,november,0
283,november,12
284,november,3
285,november,1
286,november,6
287,november,3
288,november,1
289,november,1
290,november,7
291,november,5
292,november,3
293,november,8
294,november,1
295,november,2
296,november,1
297,november,9
298,november,1
299,november,8
300,november,8
301,november,1
302,november,0
303,november,9
304,november,3
305,november,9
306,november,2
307,november,3
308,november,1
309,november,1
310,november,1
311,november,5
312,november,4
313,november,1
314,november,3
315,november,10
316,november,6
317,november,4
318,november,1
319,november,1
320,november,3
321,november,2
322,november,8
323,november,3
324,november,2
325,november,0
326,november,8
327,november,0
328,november,5
329,november,0
330,november,3
331,november,1
332,november,3
333,november,3
334,november,10
335,november,2
336,november,12
337,november,2
338,november,0
339,november,7
340,november,3
341,november,4
342,november,16
343,november,5
344,november,1
345,november,10
346,november,11
347,november,1
348,november,1
349,november,6
350,november,0
351,november,0
352,november,2
353,november,5
354,november,17
355,november,2
356,november,1
357,november,0
358,november,1
359,november,1
360,november,0
361,november,1
362,november,9
363,november,5
364,november,2
365,november,2
366,november,1
367,november,3
368,november,2
369,november,1
370,november,4
371,november,0
372,november,4
373,november,3
374,november,1
375,november,0
376,november,8
377,november,0
378,november,2
379,november,3
380,november,3
381,november,2
382,november,3
383,november,0
384,november,2
385,november,2
386,november,7
387,november,5
388,november,2
389,november,2
390,november,1
391,november,4
392,november,11
393,november,2
394,november,2
395,november,2
396,november,5
397,november,2
398,november,1
399,november,4
400,november,4
401,november,2
402,november,5
403,november,2
404,november,5
405,november,1
406,november,0
407,november,1
408,november,3
409,november,0
410,november,5
411,november,5
412,november,0
413,november,3
414,november,5
415,november,7
416,november,3
417,november,0
418,november,1
419,november,0
420,november,2
421,november,5
422,november,5
423,november,6
424,november,1
425,november,1
426,november,8
427,november,7
428,november,19
429,november,4
430,november,1
431,november,4
432,november,3
433,november,1
434,november,2
435,november,3
436,november,3
437,november,7
438,november,8
439,november,6
440,november,4
441,november,7
442,november,1
443,november,9
444,november,13
445,november,8
446,november,5
447,november,4
448,november,3
449,november,2
450,november,3
451,november,1
452,november,0
453,november,4
454,november,0
455,november,1
456,november,6
457,november,8
458,november,6
459,november,4
460,november,2
461,november,3
462,november,3
463,november,1
464,november,3
465,november,1
466,november,1
467,november,3
468,november,0
469,november,2
470,november,6
471,november,2
472,november,1
473,november,3
474,november,1
475,november,0
476,november,5
477,november,2
478,november,2
479,november,2
480,november,4
481,november,11
482,november,8
483,november,2
484,november,0
485,november,2
486,november,0
487,november,2
488,november,4
489,november,1
490,november,3
491,november,0
492,november,3
493,november,6
494,november,2
495,november,2
496,november,1
497,november,1
498,november,5
499,november,5
500,november,5
501,november,4
502,november,2
503,november,11
504,november,2
505,november,4
506,november,0
507,november,5
508,november,5
509,november,2
510,november,3
511,november,7
512,november,0
513,november,1
514,november,2
515,november,3
516,november,0
517,november,4
518,november,7
519,november,1
520,november,5
521,november,12
522,november,4
523,november,4
524,november,6
525,november,1
526,november,1
527,november,4
528,november,4
529,november,10
530,november,3
531,november,3
532,november,3
533,november,1
534,november,7
535,november,1
536,november,3
537,november,0
538,november,5
539,november,1
540,november,7
541,november,9
542,november,3
543,november,1
544,november,3
545,november,2
546,november,4
547,november,9
548,november,1
549,november,2
550,november,1
551,november,1
552,november,0
553,november,1
554,november,2
555,november,0
556,november,2
557,november,0
558,november,4
559,november,6
560,november,2
561,november,12
562,november,2
563,november,0
564,november,0
565,november,4
566,november,2
567,november,4
568,november,9
569,november,8
570,november,1
571,november,1
572,november,1
573,november,8
574,november,2
575,november,0
576,november,2
577,november,4
578,november,1
579,november,0
580,november,5
581,november,10
582,november,7
583,november,5
584,november,7
585,november,14
586,november,2
587,november,6
588,november,1
589,november,0
590,november,18
591,november,14
592,november,6
593,november,1
594,november,3
595,november,4
596,november,4
597,november,4
598,november,9
599,november,0
600,november,6
601,november,1
602,november,1
603,november,19
604,november,2
605,november,0
606,november,2
607,november,0
608,november,14
609,november,2
610,november,4
611,november,3
612,november,1
613,november,8
614,november,1
615,november,0
616,november,2
617,november,4
618,november,2
619,november,1
620,november,5
621,november,1
622,november,5
623,november,3
624,november,2
625,november,1
626,november,2
627,november,1
628,november,4
629,november,7
630,november,13
631,november,2
632,november,8
633,november,3
634,november,1
635,november,4
636,november,10
637,november,2
638,november,7
639,november,1
640,november,2
641,november,3
642,november,2
643,november,8
644,november,0
645,november,4
646,november,0
647,november,1
648,november,2
649,november,5
650,november,3
651,november,5
652,november,1
653,november,11
654,november,2
655,november,0
656,november,2
657,november,5
658,november,1
659,november,8
660,november,1
661,november,4
662,november,2
663,november,6
664,november,5
665,november,0
666,november,12
667,november,4
668,november,4
669,november,6
670,november,1
671,november,4
672,november,1
673,november,1
674,november,3
675,november,3
676,november,1
677,november,5
678,november,2
679,november,0
680,november,2
681,november,0
682,november,6
683,november,4
684,november,2
685,november,1
686,november,2
687,november,1
688,november,2
689,november,1
690,november,5
691,november,4
692,november,0
693,november,1
694,november,2
695,november,1
696,november,1
697,november,4
698,november,7
699,november,0
700,november,0
701,november,2
702,november,2
703,november,0
704,november,0
705,november,3
706,november,1
707,november,5
708,november,2
709,november,2
710,november,6
711,november,6
712,november,11
713,november,1
714,november,0
715,november,1
