user,month,comments
1,october,2
2,october,7
3,october,2
4,october,7
5,october,1
6,october,10
7,october,3
8,october,1
9,october,10
10,october,1
11,october,0
12,october,3
13,october,5
14,october,6
15,october,2
16,october,4
17,october,6
18,october,4
19,october,2
20,october,0
21,october,1
22,october,3
23,october,1
24,october,9
25,october,3
26,october,11
27,october,3
28,october,1
29,october,1
30,october,1
31,october,3
32,october,8
33,october,7
34,october,7
35,october,6
36,october,1
37,october,0
38,october,4
39,october,1
40,october,2
41,october,2
42,october,6
43,october,2
44,october,1
45,october,0
46,october,2
47,october,1
48,october,1
49,october,6
50,october,0
51,october,5
52,october,2
53,october,6
54,october,2
55,october,3
56,october,3
57,october,0
58,october,5
59,october,0
60,october,1
61,october,2
62,october,7
63,october,3
64,october,10
65,october,5
66,october,3
67,october,0
68,october,2
69,october,3
70,october,1
71,october,1
72,october,1
73,october,2
74,october,0
75,october,1
76,october,2
77,october,1
78,october,4
79,october,2
80,october,13
81,october,5
82,october,9
83,october,0
84,october,1
85,october,1
86,october,1
87,october,12
88,october,2
89,october,2
90,october,14
91,october,1
92,october,4
93,october,1
94,october,1
95,october,6
96,october,7
97,october,1
98,october,2
99,october,8
100,october,4
101,october,0
102,october,4
103,october,1
104,october,3
105,october,5
106,october,0
107,october,0
108,october,10
109,october,1
110,october,2
111,october,3
112,october,2
113,october,6
114,october,2
115,october,3
116,october,1
117,october,2
118,october,0
119,october,2
120,october,2
121,october,2
122,october,4
123,october,6
124,october,0
125,october,0
126,october,0
127,october,2
128,october,4
129,october,3
130,october,3
131,october,2
132,october,1
133,october,0
134,october,3
135,october,1
136,october,1
137,october,3
138,october,1
139,october,0
140,october,1
141,october,1
142,october,8
143,october,2
144,october,0
145,october,13
146,october,2
147,october,2
148,october,0
149,october,1
150,october,0
151,october,4
152,october,0
153,october,2
154,october,4
155,october,1
156,october,15
157,october,4
158,october,2
159,october,1
160,october,2
161,october,7
162,october,8
163,october,11
164,october,16
165,october,5
166,october,0
167,october,4
168,october,2
169,october,3
170,october,1
171,october,0
172,october,4
173,october,3
174,october,3
175,october,0
176,october,3
177,october,4
178,october,7
179,october,0
180,october,19
181,october,2
182,october,10
183,october,1
184,october,3
185,october,2
186,october,4
187,october,2
188,october,1
189,october,3
190,october,3
191,october,1
192,october,1
193,october,0
194,october,0
195,october,2
196,october,3
197,october,1
198,october,5
199,october,3
200,october,1
201,october,5
202,october,6
203,october,1
204,october,1
205,october,6
206,october,3
207,october,3
208,october,3
209,october,3
210,october,7
211,october,2
212,october,10
213,october,0
214,october,0
215,october,2
216,october,10
217,october,0
218,october,2
219,october,11
220,october,1
221,october,1
222,october,5
223,october,7
224,october,0
225,october,5
226,october,2
227,october,3
228,october,7
229,october,1
230,october,5
231,october,6
232,october,6
233,october,0
234,october,7
235,october,5
236,october,5
237,october,1
238,october,0
239,october,1
