user,month,comments
1,september,5
2,september,1
3,september,0
4,september,8
5,september,0
6,september,1
7,september,2
8,september,0
9,september,5
10,september,0
11,september,0
12,september,4
13,september,2
14,september,3
15,september,2
16,september,1
17,september,12
18,september,3
19,september,0
20,september,5
21,september,1
22,september,8
23,september,0
24,september,3
25,september,1
26,september,10
27,september,1
28,september,0
29,september,2
30,september,0
31,september,1
32,september,16
33,september,0
34,september,7
35,september,1
36,september,21
37,september,1
38,september,0
39,september,1
40,september,5
41,september,6
42,september,4
43,september,4
44,september,5
45,september,1
46,september,0
47,september,2
48,september,1
49,september,5
50,september,3
51,september,4
52,september,3
53,september,2
54,september,7
55,september,1
56,september,1
57,september,1
58,september,1
59,september,4
60,september,1
61,september,3
62,september,0
63,september,2
64,september,2
65,september,7
66,september,5
67,september,1
68,september,1
69,september,5
70,september,2
71,september,2
72,september,4
73,september,3
74,september,6
75,september,2
76,september,2
77,september,1
78,september,5
79,september,2
80,september,1
81,september,3
82,september,0
83,september,0
84,september,1
85,september,17
86,september,3
87,september,3
88,september,2
89,september,3
90,september,6
91,september,8
92,september,1
93,september,3
94,september,1
95,september,5
96,september,1
97,september,3
98,september,2
99,september,1
100,september,5
101,september,1
102,september,10
103,september,8
104,september,0
105,september,3
106,september,3
107,september,2
108,september,7
109,september,1
110,september,3
111,september,2
112,september,7
113,september,3
114,september,2
115,september,2
116,september,1
117,september,3
118,september,2
119,september,3
120,september,4
121,september,1
122,september,1
123,september,1
124,september,4
125,september,3
126,september,8
127,september,0
128,september,1
129,september,2
130,september,2
131,september,3
132,september,0
133,september,3
134,september,8
135,september,4
136,september,1
137,september,1
138,september,4
139,september,0
140,september,0
141,september,1
142,september,5
143,september,4
144,september,3
145,september,13
146,september,3
147,september,1
148,september,7
149,september,7
150,september,4
151,september,1
152,september,3
153,september,1
154,september,1
155,september,5
156,september,7
157,september,1
158,september,2
159,september,1
160,september,5
161,september,5
162,september,2
163,september,1
164,september,2
165,september,11
166,september,0
167,september,1
168,september,2
169,september,1
170,september,3
171,september,2
172,september,8
173,september,1
174,september,5
175,september,3
176,september,2
177,september,3
178,september,3
179,september,0
180,september,7
181,september,5
182,september,2
183,september,6
184,september,5
185,september,2
186,september,0
187,september,2
188,september,2
189,september,4
190,september,1
191,september,8
192,september,8
193,september,3
194,september,3
195,september,2
196,september,4
197,september,4
198,september,5
199,september,4
200,september,6
201,september,1
202,september,4
203,september,3
204,september,1
205,september,6
206,september,2
207,september,1
208,september,0
209,september,4
210,september,1
211,september,1
212,september,3
213,september,0
214,september,4
215,september,1
216,september,5
217,september,5
218,september,5
219,september,1
220,september,1
221,september,1
222,september,4
223,september,8
224,september,4
225,september,4
226,september,6
227,september,4
228,september,1
229,september,1
230,september,4
231,september,4
232,september,5
233,september,3
234,september,3
235,september,12
236,september,3
237,september,6
238,september,5
239,september,3
240,september,9
241,september,6
242,september,0
243,september,1
244,september,7
245,september,6
246,september,4
247,september,2
248,september,3
249,september,1
250,september,4
251,september,0
252,september,0
253,september,6
254,september,2
255,september,1
256,september,1
257,september,1
258,september,12
259,september,1
260,september,0
261,september,9
262,september,1
263,september,6
264,september,5
265,september,3
266,september,0
267,september,2
268,september,2
269,september,4
270,september,6
271,september,3
272,september,3
273,september,6
274,september,2
275,september,3
276,september,1
277,september,5
278,september,0
279,september,2
280,september,8
281,september,2
282,september,12
283,september,8
284,september,4
285,september,2
286,september,4
287,september,0
288,september,2
289,september,11
290,september,4
291,september,1
292,september,5
293,september,9
294,september,2
295,september,2
296,september,1
297,september,4
298,september,3
299,september,6
300,september,1
301,september,12
302,september,1
303,september,9
304,september,2
305,september,8
306,september,2
307,september,2
308,september,0
309,september,0
310,september,1
311,september,1
312,september,7
313,september,1
314,september,5
315,september,5
316,september,5
317,september,1
318,september,0
319,september,6
320,september,1
321,september,3
322,september,2
323,september,0
324,september,4
325,september,3
326,september,2
327,september,2
328,september,7
329,september,2
330,september,5
331,september,3
332,september,2
333,september,2
334,september,1
335,september,2
336,september,1
337,september,3
338,september,0
339,september,4
340,september,5
341,september,3
342,september,0
343,september,1
344,september,9
345,september,1
346,september,6
347,september,1
348,september,8
349,september,3
350,september,2
351,september,3
352,september,1
353,september,2
354,september,3
355,september,1
356,september,2
357,september,3
358,september,4
359,september,2
360,september,2
361,september,1
362,september,2
363,september,0
364,september,1
365,september,1
366,september,1
367,september,1
368,september,5
369,september,3
370,september,1
371,september,1
372,september,4
373,september,4
374,september,1
375,september,6
376,september,2
377,september,4
378,september,9
379,september,1
380,september,1
381,september,4
382,september,4
383,september,1
384,september,4
385,september,5
386,september,5
387,september,3
388,september,6
389,september,1
390,september,1
391,september,1
392,september,2
393,september,1
394,september,3
395,september,3
396,september,2
397,september,3
398,september,0
399,september,5
400,september,12
401,september,3
402,september,1
403,september,1
404,september,2
405,september,0
406,september,1
407,september,5
408,september,5
409,september,3
410,september,1
411,september,6
412,september,0
413,september,0
414,september,15
415,september,8
416,september,1
417,september,13
418,september,4
419,september,0
420,september,0
421,september,13
422,september,4
423,september,3
424,september,0
425,september,1
426,september,3
427,september,1
428,september,8
429,september,2
430,september,3
431,september,3
432,september,9
433,september,1
434,september,20
435,september,9
436,september,0
437,september,1
438,september,3
439,september,5
440,september,1
441,september,0
442,september,6
443,september,6
444,september,5
445,september,4
446,september,1
447,september,2
448,september,2
449,september,0
450,september,5
451,september,0
452,september,2
453,september,1
454,september,1
455,september,1
456,september,4
457,september,2
458,september,18
459,september,4
460,september,3
461,september,4
462,september,1
463,september,2
464,september,2
465,september,4
466,september,1
467,september,2
468,september,0
469,september,6
470,september,0
471,september,2
472,september,2
473,september,4
474,september,2
475,september,2
476,september,4
477,september,12
478,september,4
479,september,1
480,september,0
481,september,2
482,september,0
483,september,1
484,september,18
485,september,4
486,september,0
487,september,6
488,september,2
489,september,3
490,september,1
491,september,1
492,september,3
493,september,1
494,september,1
495,september,4
496,september,7
497,september,2
498,september,0
499,september,4
500,september,4
501,september,8
502,september,1
503,september,3
504,september,1
505,september,2
506,september,8
507,september,9
508,september,0
509,september,2
510,september,3
511,september,3
512,september,1
513,september,1
514,september,6
515,september,2
516,september,1
517,september,7
518,september,1
519,september,8
520,september,13
521,september,3
522,september,1
523,september,3
524,september,0
525,september,2
526,september,3
527,september,1
528,september,1
529,september,2
530,september,3
531,september,4
532,september,1
533,september,1
534,september,1
535,september,0
536,september,3
537,september,10
538,september,9
539,september,4
540,september,2
541,september,2
542,september,1
543,september,6
544,september,0
545,september,3
546,september,4
547,september,2
548,september,1
549,september,3
550,september,7
551,september,1
552,september,2
553,september,1
554,september,2
555,september,2
556,september,5
557,september,1
558,september,4
559,september,3
560,september,5
561,september,2
562,september,8
563,september,7
564,september,35
565,september,4
566,september,3
567,september,2
568,september,3
569,september,7
570,september,7
571,september,15
572,september,3
573,september,2
574,september,2
575,september,8
576,september,1
577,september,0
578,september,9
579,september,8
580,september,1
581,september,1
582,september,2
583,september,9
584,september,3
585,september,1
586,september,1
587,september,5
588,september,3
589,september,5
590,september,8
591,september,2
592,september,3
593,september,0
594,september,2
595,september,2
596,september,4
597,september,1
598,september,1
599,september,1
600,september,0
601,september,2
602,september,2
603,september,3
604,september,2
605,september,10
606,september,1
607,september,9
608,september,3
609,september,1
610,september,1
611,september,2
612,september,0
613,september,5
614,september,1
615,september,4
616,september,7
617,september,4
618,september,14
619,september,2
620,september,4
621,september,5
622,september,0
623,september,2
624,september,2
625,september,3
626,september,1
627,september,5
628,september,1
629,september,1
630,september,1
631,september,9
632,september,7
633,september,3
634,september,6
635,september,11
636,september,0
637,september,6
638,september,8
639,september,1
640,september,1
641,september,6
642,september,0
643,september,1
644,september,0
645,september,0
646,september,0
647,september,0
648,september,2
649,september,6
650,september,1
651,september,0
652,september,7
653,september,1
654,september,0
655,september,8
656,september,2
657,september,9
658,september,4
659,september,4
660,september,0
661,september,8
662,september,9
663,september,1
664,september,3
665,september,2
666,september,1
667,september,1
668,september,0
669,september,0
670,september,1
671,september,4
672,september,3
673,september,1
674,september,4
675,september,5
676,september,2
677,september,0
678,september,1
679,september,3
680,september,1
681,september,4
682,september,10
683,september,5
684,september,8
685,september,6
686,september,6
687,september,3
688,september,0
689,september,0
690,september,1
691,september,3
692,september,7
693,september,6
694,september,1
695,september,7
696,september,4
697,september,6
698,september,14
699,september,1
700,september,11
701,september,8
702,september,0
703,september,6
704,september,10
705,september,2
706,september,1
707,september,1
708,september,3
709,september,13
710,september,2
711,september,5
712,september,3
713,september,0
714,september,1
715,september,4
716,september,4
717,september,7
718,september,1
719,september,2
720,september,3
721,september,2
722,september,2
723,september,2
724,september,1
725,september,1
726,september,14
727,september,2
728,september,4
729,september,1
730,september,4
731,september,4
732,september,3
733,september,4
734,september,10
735,september,0
736,september,7
737,september,0
738,september,1
739,september,2
740,september,3
741,september,2
742,september,1
743,september,2
744,september,1
745,september,12
746,september,0
747,september,1
748,september,4
749,september,0
750,september,0
751,september,0
752,september,2
753,september,2
754,september,13
755,september,6
756,september,3
757,september,0
758,september,7
759,september,1
760,september,3
761,september,2
762,september,1
763,september,7
764,september,3
765,september,5
766,september,3
767,september,8
768,september,1
769,september,0
770,september,4
771,september,3
772,september,6
773,september,2
774,september,2
775,september,1
776,september,1
777,september,3
778,september,2
779,september,19
780,september,1
781,september,6
782,september,5
783,september,4
784,september,11
785,september,5
786,september,0
787,september,5
788,september,21
789,september,4
790,september,0
791,september,0
792,september,3
793,september,1
794,september,10
795,september,1
796,september,3
797,september,3
798,september,11
799,september,2
800,september,1
801,september,0
802,september,3
803,september,2
804,september,5
805,september,4
806,september,1
807,september,5
808,september,2
809,september,5
810,september,4
811,september,0
812,september,2
813,september,8
814,september,2
815,september,3
816,september,4
817,september,2
818,september,5
819,september,2
820,september,11
821,september,2
822,september,0
823,september,3
824,september,2
825,september,5
826,september,1
827,september,5
828,september,1
829,september,4
830,september,0
831,september,2
832,september,16
833,september,0
834,september,1
835,september,5
836,september,7
837,september,3
838,september,0
839,september,6
840,september,3
841,september,2
842,september,1
843,september,6
844,september,0
845,september,11
846,september,3
847,september,2
848,september,1
849,september,0
850,september,7
851,september,6
852,september,6
853,september,3
854,september,8
855,september,1
856,september,4
857,september,0
858,september,1
859,september,3
860,september,3
861,september,0
862,september,3
863,september,5
864,september,0
865,september,2
866,september,2
867,september,7
868,september,10
869,september,17
870,september,1
871,september,3
872,september,1
873,september,5
874,september,1
875,september,0
876,september,3
877,september,18
878,september,2
879,september,2
880,september,3
881,september,0
882,september,2
883,september,1
884,september,6
885,september,7
886,september,0
887,september,12
888,september,3
889,september,1
890,september,3
891,september,1
892,september,1
893,september,6
894,september,0
895,september,4
896,september,7
897,september,1
898,september,3
899,september,15
900,september,0
901,september,1
902,september,3
903,september,0
904,september,4
905,september,2
906,september,1
907,september,0
908,september,3
909,september,0
910,september,2
911,september,0
912,september,10
913,september,2
914,september,3
915,september,3
916,september,1
917,september,7
918,september,4
919,september,0
920,september,0
921,september,0
922,september,10
923,september,6
924,september,3
925,september,10
926,september,1
927,september,1
928,september,7
929,september,2
930,september,1
931,september,4
932,september,2
933,september,1
934,september,1
935,september,8
936,september,1
937,september,1
938,september,2
939,september,2
940,september,2
941,september,2
942,september,4
943,september,2
944,september,2
945,september,3
946,september,1
947,september,0
948,september,4
949,september,1
950,september,2
951,september,0
952,september,6
953,september,1
954,september,4
955,september,22
956,september,1
957,september,5
958,september,12
959,september,5
960,september,5
961,september,4
962,september,4
963,september,3
964,september,1
965,september,3
966,september,0
967,september,3
968,september,1
969,september,1
970,september,1
971,september,10
972,september,3
973,september,0
974,september,0
975,september,3
976,september,1
977,september,6
978,september,1
979,september,7
980,september,1
981,september,2
982,september,1
983,september,2
984,september,1
985,september,0
986,september,1
987,september,10
988,september,0
989,september,3
990,september,5
991,september,6
992,september,2
993,september,0
994,september,3
995,september,1
996,september,15
997,september,8
998,september,0
999,september,3
1000,september,2
