country,iso2c,iso3c,year,FP.CPI.TOTL.ZG,NY.GDP.MKTP.KD.ZG,SP.POP.TOTL,SL.UEM.TOTL.NE.ZS
Australia,AU,AUS,1960,3.72881355932205,NA,10276477,NA
Australia,AU,AUS,1961,2.2875816993464,2.48265607743198,10483000,NA
Australia,AU,AUS,1962,-0.319488817891384,1.29461125042288,10742000,NA
Australia,AU,AUS,1963,0.641025641025639,6.21610734095628,10950000,NA
Australia,AU,AUS,1964,2.86624203821656,6.98006113590908,11167000,NA
Australia,AU,AUS,1965,3.40557275541798,5.98043790489233,11388000,NA
Australia,AU,AUS,1966,3.29341317365269,2.3790395210471,11651000,NA
Australia,AU,AUS,1967,3.47826086956521,6.30494520838687,11799000,NA
Australia,AU,AUS,1968,2.52100840336133,5.09403379910209,12009000,NA
Australia,AU,AUS,1969,3.27868852459017,7.04558407407036,12263000,NA
Australia,AU,AUS,1970,3.43915343915344,7.17591619613394,12507000,NA
Australia,AU,AUS,1971,6.13810741687979,4.0009325268864,12937000,NA
Australia,AU,AUS,1972,6.02409638554218,3.91028447764758,13177000,NA
Australia,AU,AUS,1973,9.09090909090911,2.61937596270938,13380000,NA
Australia,AU,AUS,1974,15.4166666666667,4.10697305240988,13723000,NA
Australia,AU,AUS,1975,15.1624548736462,1.33631004053656,13893000,NA
Australia,AU,AUS,1976,13.3228840125392,2.58877075756136,14033000,NA
Australia,AU,AUS,1977,12.3098201936376,3.59483293820367,14192000,NA
Australia,AU,AUS,1978,8.00492610837437,0.893149715162878,14358000,NA
Australia,AU,AUS,1979,9.12200684150512,4.05002657292619,14514000,6.26000022888184
Australia,AU,AUS,1980,10.1358411703239,3.03558879840024,14692000,6.1100001335144
Australia,AU,AUS,1981,9.48766603415561,3.33949478274815,14923260,5.78000020980835
Australia,AU,AUS,1982,11.3518197573657,3.32485228713905,15184247,7.15999984741211
Australia,AU,AUS,1983,10.0389105058366,-2.22454187667462,15393472,9.96000003814697
Australia,AU,AUS,1984,3.96039603960395,4.59173856371424,15579391,8.98999977111816
Australia,AU,AUS,1985,6.73469387755101,5.27824387899072,15788312,8.26000022888184
Australia,AU,AUS,1986,9.05035054174635,3.96627433738064,16018350,8.07999992370605
Australia,AU,AUS,1987,8.53302162478083,2.55925763771884,16263874,8.10999965667725
Australia,AU,AUS,1988,7.21593968766826,5.75734106582576,16532164,7.23000001907349
Australia,AU,AUS,1989,7.53390256152692,3.87542552074743,16814416,6.17999982833862
Australia,AU,AUS,1990,7.33302195235869,3.57648576106794,17065128,6.92999982833862
Australia,AU,AUS,1991,3.17667536988686,-0.383071892767745,17284036,9.57999992370605
Australia,AU,AUS,1992,1.01223112610711,0.42861956748601,17478635,10.7299995422363
Australia,AU,AUS,1993,1.75365344467641,4.04742526816615,17634808,10.8699998855591
Australia,AU,AUS,1994,1.96963479688142,3.98092334747493,17805468,9.72000026702881
Australia,AU,AUS,1995,4.62776659959758,3.88710629393142,18004882,8.47000026702881
Australia,AU,AUS,1996,2.61538461538462,3.85684122668562,18224767,8.51000022888184
Australia,AU,AUS,1997,0.224887556221881,3.91283547292693,18423037,8.35999965667725
Australia,AU,AUS,1998,0.860134629768157,4.61335689242107,18607584,7.67999982833862
Australia,AU,AUS,1999,1.48312940304038,4.95632450612884,18812264,6.86999988555908
Australia,AU,AUS,2000,4.45743514797225,3.90117137135968,19028802,6.28000020980835
Australia,AU,AUS,2001,4.4071353620147,2.04141733816161,19274701,6.73999977111816
Australia,AU,AUS,2002,2.98157453936349,3.99358986481653,19495210,6.36999988555908
Australia,AU,AUS,2003,2.73259596616783,3.1113982078941,19720737,5.92999982833862
Australia,AU,AUS,2004,2.34325522482587,4.21663327252608,19932722,5.3899998664856
Australia,AU,AUS,2005,2.69183168316831,3.15375271041142,20176844,5.03000020980835
Australia,AU,AUS,2006,3.55528773727028,2.74063570365783,20450966,4.78000020980835
Australia,AU,AUS,2007,2.32761128891476,3.77791678266478,20827622,4.38000011444092
Australia,AU,AUS,2008,4.35029854990047,3.5682700322582,21249199,4.23000001907349
Australia,AU,AUS,2009,1.77111716621252,1.87048696091408,21691653,5.55999994277954
Australia,AU,AUS,2010,2.91834002677376,2.20656631017093,22031750,5.21000003814697
Australia,AU,AUS,2011,3.30385015608744,2.3913851323057,22340024,5.07999992370605
Australia,AU,AUS,2012,1.76278015613193,3.902007806318,22733465,5.21999979019165
Australia,AU,AUS,2013,2.44988864142539,2.57875428825342,23128129,5.65999984741211
Australia,AU,AUS,2014,2.48792270531403,2.57901711177597,23475686,6.07999992370605
Australia,AU,AUS,2015,1.50836672165921,2.1527359059391,23815995,6.05000019073486
Australia,AU,AUS,2016,1.27699094497328,2.73054799209893,24190907,5.71000003814697
Australia,AU,AUS,2017,1.94864740944522,2.2821836424846502,24594202,5.59000015258789
