gutenberg_id,text
1260,JANE EYRE
1260,AN AUTOBIOGRAPHY
1260,
1260,by Charlotte Brontë
1260,
1260,_ILLUSTRATED BY F. H. TOWNSEND_
1260,
1260,London
1260,SERVICE & PATON
1260,5 HENRIETTA STREET
1260,1897
1260,
1260,_The Illustrations_
1260,_in this Volume are the copyright of_
1260,"SERVICE & PATON, _London_"
1260,
1260,TO
1260,"W. M. THACKERAY, ESQ.,"
1260,
1260,This Work
1260,IS RESPECTFULLY INSCRIBED
1260,
1260,BY
1260,THE AUTHOR
1260,
1260,
1260,
1260,
1260,PREFACE
1260,
1260,
1260,"A preface to the first edition of “Jane Eyre” being unnecessary, I gave"
1260,none: this second edition demands a few words both of acknowledgment
1260,and miscellaneous remark.
1260,
1260,My thanks are due in three quarters.
1260,
1260,"To the Public, for the indulgent ear it has inclined to a plain tale"
1260,with few pretensions.
1260,
1260,"To the Press, for the fair field its honest suffrage has opened to an"
1260,obscure aspirant.
1260,
1260,"To my Publishers, for the aid their tact, their energy, their practical"
1260,sense and frank liberality have afforded an unknown and unrecommended
1260,Author.
1260,
1260,"The Press and the Public are but vague personifications for me, and I"
1260,must thank them in vague terms; but my Publishers are definite: so are
1260,certain generous critics who have encouraged me as only large-hearted
1260,and high-minded men know how to encourage a struggling stranger; to
1260,"them, _i.e._, to my Publishers and the select Reviewers, I say"
1260,"cordially, Gentlemen, I thank you from my heart."
1260,
1260,Having thus acknowledged what I owe those who have aided and approved
1260,"me, I turn to another class; a small one, so far as I know, but not,"
1260,"therefore, to be overlooked. I mean the timorous or carping few who"
1260,doubt the tendency of such books as “Jane Eyre:” in whose eyes whatever
1260,is unusual is wrong; whose ears detect in each protest against
1260,"bigotry—that parent of crime—an insult to piety, that regent of God on"
1260,earth. I would suggest to such doubters certain obvious distinctions; I
1260,would remind them of certain simple truths.
1260,
1260,Conventionality is not morality. Self-righteousness is not religion. To
1260,attack the first is not to assail the last. To pluck the mask from the
1260,"face of the Pharisee, is not to lift an impious hand to the Crown of"
1260,Thorns.
1260,
