Component,Range,Requirement
R/Python cited ,0 - 'No';<br> 1 - 'Yes',"R (and/or Python) is properly referenced in the main content and in the reference list. If not, then paper gets 0 overall."
Data cited,0 - 'No';<br> 1 - 'Yes',"Data are properly referenced in the main content and in the reference list. If not, then paper gets 0 overall."
Class paper,0 - 'No';<br> 1 - 'Yes',"There is no sign this is a class project. Check the rproj and folder names, the README, the title, code comments, etc. If there is any sign this is a class paper, then paper gets 0 overall."
LLM documentation ,0 - 'No';<br> 1 - 'Yes',"A separate paragraph or dot point must be included in the README about whether LLMs were used, and if so how. If auto-complete tools such as co-pilot were used this must be mentioned. If chat tools such as ChatGPT, were used then the entire chat must be included in the usage text file. If not, then paper gets 0 overall."
Replication, 0 - 'Poor or not done';<br> 2 - 'Many issues';<br> 4 - 'Some issues';<br> 6 - 'Acceptable';<br> 8 - 'Impressive';<br> 10 - 'Exceptional', "SSRP submission needs to be filled out completely for three elements."
Title ,0 - 'Poor or not done';<br> 1 - 'Yes';<br> 2 - 'Exceptional',An informative title is included that explains the story, and ideally tells the reader what happens at the end of it. 'Paper X' is not an informative title. Use a subtitle to convey the main finding. Do not use puns (you can break this rule once you're experienced).
"Author, date, and repo",0 - 'Poor or not done';<br> 2 - 'Yes',"The author, date of submission in unambiguous format, and a link to a GitHub repo are clearly included. (The later likely, but not necessarily, through a statement such as: 'Code and data supporting this analysis is available at: LINK')."
Abstract ,0 - 'Poor or not done';<br> 1 - 'Some issues';<br> 2 - 'Acceptable';<br> 3 - 'Impressive';<br> 4 - 'Exceptional',"An abstract is included and appropriately pitched to a non-specialist audience. The abstract answers: 1) what was done, 2) what was found, and 3) why this matters (all at a high level). Likely four sentences. Abstract must make clear what we learn about the world because of this paper."
Introduction,0 - 'Poor or not done';<br> 1 - 'Some issues';<br> 2 - 'Acceptable';<br> 3 - 'Impressive';<br> 4 - 'Exceptional',"The introduction is self-contained and tells a reader everything they need to know including: 1) broader context to motivate; 2) some detail about what the paper is about; 3) a clear gap that needs to be filled; 4) what was done; 5) what was found; 6) why it is important; 7) the structure of the paper. A reader should be able to read only the introduction and know what was done, why, and what was found. Likely 3 or 4 paragraphs, or 10 per cent of total."
Estimand,0 - 'Poor or not done';<br> 1 - 'Done',"The estimand is clearly stated, in its own paragraph, in the introduction."
Data,0 - 'Poor or not done';<br> 2 - 'Many issues';<br> 4 - 'Some issues';<br> 6 - 'Acceptable';<br> 8 - 'Impressive';<br> 10 - 'Exceptional',"A sense of the dataset should be communicated to the reader. The broader context of the dataset should be discussed. All variables should be thoroughly examined and explained. Explain if there were similar datasets that could have been used and why they were not. If variables were constructed then this should be mentioned, and high-level cleaning aspects of note should be mentioned, but this section should focus on the destination, not the journey. It is important to understand what the variables look like by including graphs, and possibly tables, of all observations, along with discussion of those graphs and the other features of these data. Summary statistics should also be included, and well as any relationships between the variables. You are not doing EDA in this section--you are talking the reader through the variables that are of interest. If this becomes too detailed, then appendices could be used. Basically, for every variable in your dataset that is of interest to your paper there needs to be graphs and explanation and maybe tables."
Measurement,0 - 'Poor or not done';<br> 2 - 'Some issues';<br> 3 - 'Acceptable';<br> 4 - 'Exceptional',"A thorough discussion of measurement, relating to the dataset, is provided in the data section. Please ensure that you explain how we went from some phenomena in the world that happened to an entry in the dataset that you are interested in."
Model,0 - 'Poor or not done';<br> 2 - 'Many issues';<br> 4 - 'Some issues';<br> 6 - 'Acceptable';<br> 8 - 'Impressive';<br> 10 - 'Exceptional',"Present the model clearly using appropriate mathematical notation and plain English explanations, defining every component. Ensure the model is well-explained, justified, appropriate, and balanced in complexity—neither overly simplistic nor unnecessarily complicated—for the situation. Variables should be well-defined and correspond with those in the data section. Explain how modeling decisions reflect aspects discussed in the data section, including why specific features are included (e.g., using age rather than age groups, treating province effects as levels, categorizing gender). If applicable, define and justify sensible priors for Bayesian models. Clearly discuss underlying assumptions, potential limitations, and situations where the model may not be appropriate. Mention the software used to implement the model, and provide evidence of model validation and checking—such as out-of-sample testing, RMSE calculations, test/training splits, or sensitivity analyses—addressing model convergence and diagnostics (although much of the detail make be in the appendix). Include any alternative models or variants considered, their strengths and weaknesses, and the rationale for the final model choice."
