street_address,latitude,longitude,number_of_spots
8 Kensington Ave,43.653057756,-79.400127413,1
87 Avenue Rd,43.671979996,-79.395325446,4
162 Mc Caul St,43.655627766,-79.392067935,1
147 Baldwin St,43.654887872,-79.399866469,2
888 Yonge St,43.672934626,-79.388268569,1
180 Elizabeth St,43.657373977,-79.386162758,10
59 Spadina Rd,43.66948572,-79.40486406,1
230 College St,43.658403037,-79.397893094,6
2 Sussex Ave,43.66563289,-79.399139688,8
563 Crawford St,43.659275864,-79.420396146,2
1256 Bay St,43.671069531,-79.390161764,1
1262 Bay St,43.670979628,-79.390123544,1
93 Harbord St,43.662691172,-79.403579361,1
410 College St,43.656838872,-79.406360208,2
169 Harbord St,43.661922703,-79.407378062,4
258 Christie St,43.670857546,-79.421305252,1
862 Dundas St W,43.651420439,-79.410691095,1
858 Dundas St W,43.651426969,-79.41066586,1
41 Avenue Rd,43.670647272,-79.394814997,2
36 Avenue Rd,43.670198343,-79.394870691,3
34 Avenue Rd,43.670134918,-79.394842191,1
"NA Yonge St",43.670493582,-79.386772371,2
"NA Park Rd",43.671141401,-79.38426737,2
354 Davenport Rd,43.675271456,-79.401567016,4
"NA NA",43.658695878,-79.382093162,4
784 College St,43.654838233,-79.420866059,2
332 Harbord St,43.659653688,-79.419254982,2
623 Bathurst St,43.659959805,-79.409014824,1
489 College St,43.656049367,-79.409242601,2
747 College St,43.654898633,-79.419928597,8
382 Bathurst St,43.653498092,-79.406602852,1
1000 Bay St,43.665118774,-79.387555027,5
832 Bay St,43.662133781,-79.386356476,6
595 Bay St,43.656404886,-79.383723107,21
864 Bathurst St,43.667122947,-79.412092735,2
699 Bloor St W,43.66370779,-79.417410566,2
789 Dupont St,43.670618497,-79.426125652,3
953 Ossington Ave,43.667337928,-79.427790051,2
149 Christie St,43.667284461,-79.419800735,2
238 Christie St,43.670116498,-79.421032504,2
18 Madison Ave,43.668026986,-79.403217407,2
316 Bloor St W,43.667154286,-79.402853689,5
238 Bloor St W,43.668199051,-79.396974415,3
438 Dundas St W,43.653482847,-79.395734575,3
420 Dupont St,43.673816981,-79.411993158,3
693 Bathurst St,43.663412195,-79.410407798,8
149 Baldwin St,43.654871867,-79.399946861,4
66 Edward St,43.656639805,-79.383961178,3
421 Spadina Ave,43.657100996,-79.399501074,1
655 Bay St,43.658085807,-79.384456875,7
135 Yorkville Ave,43.670583316,-79.393673927,1
819 Bathurst St,43.666069354,-79.411338642,8
165 Augusta Ave,43.652973613,-79.40127717,2
700 University Ave,43.659241502,-79.390458711,7
330 Dupont St,43.674400153,-79.409266899,1
46 Hayden St,43.669897607,-79.384155943,2
11 Orde St,43.658600188,-79.390321184,5
100 Baldwin St,43.65539474,-79.396916521,1
192 Bloor St W,43.668598112,-79.395003695,1
1076 Bay St,43.666992295,-79.388427745,3
488 Dupont St,43.673057393,-79.41510412,1
155 College St,43.659312505,-79.392583975,12
149 College St,43.659417859,-79.392089692,10
33 Walton St,43.658176115,-79.383772059,3
904 Dundas St W,43.651100899,-79.412259113,1
994 Dundas St W,43.650441565,-79.41551207,3
101 College St,43.659961881,-79.389448548,20
1087 Yonge St,43.679575361,-79.390512087,5
499 Bathurst St,43.656978316,-79.407813754,3
178 St George St,43.668574995,-79.40033004,3
144 Cumberland St,43.669968727,-79.392467299,4
262 Bloor St W,43.668164093,-79.399919199,4
47 Hillsboro Ave,43.674996271,-79.393205427,1
860 Bay St,43.662353633,-79.386616907,3
12 Lippincott St,43.653936549,-79.406568448,4
502 Spadina Ave,43.658575409,-79.400488593,1
140 Charles St W,43.667515839000004,-79.392641887,24
568 Spadina Cres,43.660313794,-79.400406629,3
20 Charles St E,43.668902722,-79.385050466,4
500 University Ave,43.655494811,-79.388874168,12
366 Bloor St W,43.666318309,-79.405842045,3
184-200 College St,43.658913106,-79.395230086,14
120 Bloor St E,43.671091912,-79.384246025,7
62 Cumberland St,43.670693446,-79.389485516,1
83 Albany Ave,43.668365854,-79.411082442,3
40 Dundas St W,43.656189339,-79.381908636,14
559 Huron St,43.67134858,-79.403085454,2
