riding_number,riding,party,surname,votes
10001,Avalon,Conservative,Chapman,31.1
10001,Avalon,Green Party,Malone,5.4
10001,Avalon,Liberal,McDonald,46.3
10001,Avalon,NDP-New Democratic Party,Movelle,17.3
10002,Bonavista--Burin--Trinity,NDP-New Democratic Party,Cooper,12
10002,Bonavista--Burin--Trinity,Green Party,Reichel,2.9
10002,Bonavista--Burin--Trinity,Liberal,Rogers,45.7
10002,Bonavista--Burin--Trinity,Conservative,Vokey,39.5
10003,Coast of Bays--Central--Notre Dame,Conservative,Bracci,35.3
10003,Coast of Bays--Central--Notre Dame,NDP-New Democratic Party,Joe,12.4
10003,Coast of Bays--Central--Notre Dame,Liberal,Simms,48.3
10003,Coast of Bays--Central--Notre Dame,Green Party,White,4
10004,Labrador,Green Party,Colbourne,2
10004,Labrador,Conservative,Flemming,31.1
10004,Labrador,NDP-New Democratic Party,Gray,24.5
10004,Labrador,Liberal,Jones,42.5
10005,Long Range Mountains,Conservative,Eisses,28.3
10005,Long Range Mountains,Liberal,Hutchings,47.4
10005,Long Range Mountains,Green Party,Knill,3.5
10005,Long Range Mountains,VCP,Miles,1.1
10005,Long Range Mountains,NDP-New Democratic Party,Pike,19.8
10006,St. John's East,NDP-New Democratic Party,Harris,46.9
10006,St. John's East,Green Party,Peters,1.8
10006,St. John's East,Conservative,Wall,18.1
10006,St. John's East,Liberal,Whalen,33.2
10007,St. John's South--Mount Pearl,NDP-New Democratic Party,Anonsen,26.8
10007,St. John's South--Mount Pearl,Green Party,Hayward,1.8
10007,St. John's South--Mount Pearl,Christian Heritage Party,Jones,0.3
10007,St. John's South--Mount Pearl,Conservative,Martin,19.1
10007,St. John's South--Mount Pearl,Liberal,O'Regan,51.1
10007,St. John's South--Mount Pearl,People's Party,Ruckpaul,0.8
11001,Cardigan,Green Party,Beaton,13.8
11001,Cardigan,Liberal,MacAulay,49.3
11001,Cardigan,Conservative,Phelan,29
11001,Cardigan,Christian Heritage Party,Squires,1.1
11001,Cardigan,NDP-New Democratic Party,Thiele,6.7
11002,Charlottetown,NDP-New Democratic Party,Byrne,11.2
11002,Charlottetown,Conservative,Campbell,20.3
11002,Charlottetown,Liberal,Casey,44.3
11002,Charlottetown,Green Party,Lanthier,23.3
11002,Charlottetown,Christian Heritage Party,MacLeod,0.9
11003,Egmont,Green Party,Clark,19.8
11003,Egmont,NDP-New Democratic Party,Dunn,6.1
11003,Egmont,Conservative,McLellan,34.4
11003,Egmont,Liberal,Morrissey,39.7
11004,Malpeque,Liberal,Easter,41.4
11004,Malpeque,Green Party,Keenan,26.5
11004,Malpeque,NDP-New Democratic Party,Nash,6.5
11004,Malpeque,Conservative,Stewart,25.6
12001,Cape Breton--Canso,Independent,Dockrill,1.6
12001,Cape Breton--Canso,Green Party,Doucet,7.7
12001,Cape Breton--Canso,People's Party,Joyce,2.2
12001,Cape Breton--Canso,Liberal,Kelloway,38.9
12001,Cape Breton--Canso,National Citizens Alliance,LeBlanc,0.3
12001,Cape Breton--Canso,Conservative,MacLeod,34.5
12001,Cape Breton--Canso,NDP-New Democratic Party,Suitor,14.8
12002,Central Nova,Conservative,Canyon,29.7
12002,Central Nova,Liberal,Fraser,46.6
12002,Central Nova,Communist,Frazer,0.4
12002,Central Nova,NDP-New Democratic Party,MacDonald,13.1
