division,elected_party
Adelaide,Labor
Aston,Liberal
Ballarat,Labor
Banks,Liberal
Barker,Liberal
Barton,Labor
Bass,Liberal
Bean,Labor
Bendigo,Labor
Bennelong,Liberal
Berowra,Liberal
Blair,Labor
Blaxland,Labor
Bonner,Liberal
Boothby,Liberal
Bowman,Liberal
Braddon,Liberal
Bradfield,Liberal
Brand,Labor
Brisbane,Liberal
Bruce,Labor
Burt,Labor
Calare,Nationals
Calwell,Labor
Canberra,Labor
Canning,Liberal
Capricornia,Liberal
Casey,Liberal
Chifley,Labor
Chisholm,Liberal
Clark,Other
Cook,Liberal
Cooper,Labor
Corangamite,Labor
Corio,Labor
Cowan,Labor
Cowper,Nationals
Cunningham,Labor
Curtin,Liberal
Dawson,Liberal
Deakin,Liberal
Dickson,Liberal
Dobell,Labor
Dunkley,Labor
Durack,Liberal
Eden-Monaro,Labor
Fadden,Liberal
Fairfax,Liberal
Farrer,Liberal
Fenner,Labor
Fisher,Liberal
Flinders,Liberal
Flynn,Liberal
Forde,Liberal
Forrest,Liberal
Fowler,Labor
Franklin,Labor
Fraser,Labor
Fremantle,Labor
Gellibrand,Labor
Gilmore,Labor
Gippsland,Nationals
Goldstein,Liberal
Gorton,Labor
Grayndler,Labor
Greenway,Labor
Grey,Liberal
Griffith,Labor
Groom,Liberal
Hasluck,Liberal
Herbert,Liberal
Higgins,Liberal
Hindmarsh,Labor
Hinkler,Liberal
Holt,Labor
Hotham,Labor
Hughes,Liberal
Hume,Liberal
Hunter,Labor
Indi,Other
Isaacs,Labor
Jagajaga,Labor
Kennedy,Other
Kingsford Smith,Labor
Kingston,Labor
Kooyong,Liberal
La Trobe,Liberal
Lalor,Labor
Leichhardt,Liberal
Lilley,Labor
Lindsay,Liberal
Lingiari,Labor
Longman,Liberal
Lyne,Nationals
Lyons,Labor
Macarthur,Labor
Mackellar,Liberal
Macnamara,Labor
Macquarie,Labor
Makin,Labor
Mallee,Nationals
Maranoa,Liberal
Maribyrnong,Labor
Mayo,Other
McEwen,Labor
McMahon,Labor
McPherson,Liberal
Melbourne,Greens
Menzies,Liberal
Mitchell,Liberal
Monash,Liberal
Moncrieff,Liberal
Moore,Liberal
Moreton,Labor
New England,Nationals
Newcastle,Labor
Nicholls,Nationals
North Sydney,Liberal
O'Connor,Liberal
Oxley,Labor
Page,Nationals
Parkes,Nationals
Parramatta,Labor
Paterson,Labor
Pearce,Liberal
Perth,Labor
Petrie,Liberal
Rankin,Labor
Reid,Liberal
Richmond,Labor
Riverina,Nationals
Robertson,Liberal
Ryan,Liberal
Scullin,Labor
Shortland,Labor
Solomon,Labor
Spence,Labor
Stirling,Liberal
Sturt,Liberal
Swan,Liberal
Sydney,Labor
Tangney,Liberal
Wannon,Liberal
Warringah,Other
Watson,Labor
Wentworth,Liberal
Werriwa,Labor
Whitlam,Labor
Wide Bay,Liberal
Wills,Labor
Wright,Liberal
