division,elected_party
Adelaide,Labor
Aston,Liberal
Ballarat,Labor
Banks,Liberal
Barker,Liberal
Barton,Labor
Bass,Liberal
Bean,Labor
Bendigo,Labor
Bennelong,Labor
Berowra,Liberal
Blair,Labor
Blaxland,Labor
Bonner,Liberal
Boothby,Labor
Bowman,Liberal
Braddon,Liberal
Bradfield,Liberal
Brand,Labor
Brisbane,Greens
Bruce,Labor
Burt,Labor
Calare,Nationals
Calwell,Labor
Canberra,Labor
Canning,Liberal
Capricornia,Liberal
Casey,Liberal
Chifley,Labor
Chisholm,Labor
Clark,Other
Cook,Liberal
Cooper,Labor
Corangamite,Labor
Corio,Labor
Cowan,Labor
Cowper,Nationals
Cunningham,Labor
Curtin,Other
Dawson,Liberal
Deakin,Liberal
Dickson,Liberal
Dobell,Labor
Dunkley,Labor
Durack,Liberal
Eden-Monaro,Labor
Fadden,Liberal
Fairfax,Liberal
Farrer,Liberal
Fenner,Labor
Fisher,Liberal
Flinders,Liberal
Flynn,Liberal
Forde,Liberal
Forrest,Liberal
Fowler,Other
Franklin,Labor
Fraser,Labor
Fremantle,Labor
Gellibrand,Labor
Gilmore,Labor
Gippsland,Nationals
Goldstein,Other
Gorton,Labor
Grayndler,Labor
Greenway,Labor
Grey,Liberal
Griffith,Greens
Groom,Liberal
Hasluck,Labor
Hawke,Labor
Herbert,Liberal
Higgins,Labor
Hindmarsh,Labor
Hinkler,Liberal
Holt,Labor
Hotham,Labor
Hughes,Liberal
Hume,Liberal
Hunter,Labor
Indi,Other
Isaacs,Labor
Jagajaga,Labor
Kennedy,Other
Kingsford Smith,Labor
Kingston,Labor
Kooyong,Other
La Trobe,Liberal
Lalor,Labor
Leichhardt,Liberal
Lilley,Labor
Lindsay,Liberal
Lingiari,Labor
Longman,Liberal
Lyne,Nationals
Lyons,Labor
Macarthur,Labor
Mackellar,Other
Macnamara,Labor
Macquarie,Labor
Makin,Labor
Mallee,Nationals
Maranoa,Liberal
Maribyrnong,Labor
Mayo,Other
McEwen,Labor
McMahon,Labor
McPherson,Liberal
Melbourne,Greens
Menzies,Liberal
Mitchell,Liberal
Monash,Liberal
Moncrieff,Liberal
Moore,Liberal
Moreton,Labor
New England,Nationals
Newcastle,Labor
Nicholls,Nationals
North Sydney,Other
O'Connor,Liberal
Oxley,Labor
Page,Nationals
Parkes,Nationals
Parramatta,Labor
Paterson,Labor
Pearce,Labor
Perth,Labor
Petrie,Liberal
Rankin,Labor
Reid,Labor
Richmond,Labor
Riverina,Nationals
Robertson,Labor
Ryan,Greens
Scullin,Labor
Shortland,Labor
Solomon,Labor
Spence,Labor
Sturt,Liberal
Swan,Labor
Sydney,Labor
Tangney,Labor
Wannon,Liberal
Warringah,Other
Watson,Labor
Wentworth,Other
Werriwa,Labor
Whitlam,Labor
Wide Bay,Liberal
Wills,Labor
Wright,Liberal
