age,age_type,gender,number
Total,age-group,male,2192452
Total,age-group,female,2204376
Total,age-group,total,4396828
0,single-year,male,57265
0,single-year,female,56523
0,single-year,total,113788
1,single-year,male,56019
1,single-year,female,54601
1,single-year,total,110620
2,single-year,male,52518
2,single-year,female,51848
2,single-year,total,104366
3,single-year,male,51115
3,single-year,female,51027
3,single-year,total,102142
4,single-year,male,47182
4,single-year,female,46889
4,single-year,total,94071
0-4,age-group,male,264099
0-4,age-group,female,260888
0-4,age-group,total,524987
5,single-year,male,45203
5,single-year,female,44711
5,single-year,total,89914
6,single-year,male,43635
6,single-year,female,44226
6,single-year,total,87861
7,single-year,male,43507
7,single-year,female,43655
7,single-year,total,87162
8,single-year,male,40916
8,single-year,female,41615
8,single-year,total,82531
9,single-year,male,41969
9,single-year,female,43275
9,single-year,total,85244
5-9,age-group,male,215230
5-9,age-group,female,217482
5-9,age-group,total,432712
10,single-year,male,40791
10,single-year,female,40892
10,single-year,total,81683
11,single-year,male,35581
11,single-year,female,37513
11,single-year,total,73094
12,single-year,male,37907
12,single-year,female,39622
12,single-year,total,77529
13,single-year,male,36701
13,single-year,female,39479
13,single-year,total,76180
14,single-year,male,34028
14,single-year,female,36036
14,single-year,total,70064
10-14,age-group,male,185008
10-14,age-group,female,193542
10-14,age-group,total,378550
15,single-year,male,30919
15,single-year,female,35136
15,single-year,total,66055
16,single-year,male,30408
16,single-year,female,35599
16,single-year,total,66007
17,single-year,male,32413
17,single-year,female,37865
17,single-year,total,70278
18,single-year,male,29102
18,single-year,female,36415
18,single-year,total,65517
19,single-year,male,36256
19,single-year,female,47740
19,single-year,total,83996
15-19,age-group,male,159098
15-19,age-group,female,192755
15-19,age-group,total,351853
20,single-year,male,39853
20,single-year,female,55625
20,single-year,total,95478
21,single-year,male,45052
21,single-year,female,57938
21,single-year,total,102990
22,single-year,male,49186
22,single-year,female,62338
22,single-year,total,111524
23,single-year,male,57179
23,single-year,female,70152
23,single-year,total,127331
24,single-year,male,58264
24,single-year,female,67432
24,single-year,total,125696
20-24,age-group,male,249534
20-24,age-group,female,313485
20-24,age-group,total,563019
25,single-year,male,63693
25,single-year,female,69680
25,single-year,total,133373
26,single-year,male,56174
26,single-year,female,62288
26,single-year,total,118462
27,single-year,male,57764
27,single-year,female,60383
27,single-year,total,118147
28,single-year,male,50792
28,single-year,female,53563
28,single-year,total,104355
29,single-year,male,54280
29,single-year,female,54931
29,single-year,total,109211
25-29,age-group,male,282703
25-29,age-group,female,300845
25-29,age-group,total,583548
30,single-year,male,64070
30,single-year,female,65757
30,single-year,total,129827
31,single-year,male,44601
31,single-year,female,42537
31,single-year,total,87138
32,single-year,male,56015
32,single-year,female,54958
32,single-year,total,110973
33,single-year,male,43556
33,single-year,female,42761
33,single-year,total,86317
34,single-year,male,41234
34,single-year,female,39981
34,single-year,total,81215
30-34,age-group,male,249476
30-34,age-group,female,245994
30-34,age-group,total,495470
35,single-year,male,49053
35,single-year,female,44052
35,single-year,total,93105
36,single-year,male,35610
36,single-year,female,33131
36,single-year,total,68741
37,single-year,male,34835
37,single-year,female,30671
37,single-year,total,65506
38,single-year,male,30710
38,single-year,female,28604
38,single-year,total,59314
39,single-year,male,31593
39,single-year,female,27537
39,single-year,total,59130
35-39,age-group,male,181801
35-39,age-group,female,163995
35-39,age-group,total,345796
40,single-year,male,37229
40,single-year,female,30970
40,single-year,total,68199
41,single-year,male,29619
41,single-year,female,23693
41,single-year,total,53312
42,single-year,male,28657
42,single-year,female,22977
42,single-year,total,51634
43,single-year,male,24278
43,single-year,female,19898
43,single-year,total,44176
44,single-year,male,19495
44,single-year,female,16346
44,single-year,total,35841
40-44,age-group,male,139278
40-44,age-group,female,113884
40-44,age-group,total,253162
45,single-year,male,28137
45,single-year,female,21111
45,single-year,total,49248
46,single-year,male,19749
46,single-year,female,14969
46,single-year,total,34718
47,single-year,male,20398
47,single-year,female,14741
47,single-year,total,35139
48,single-year,male,15447
48,single-year,female,11472
48,single-year,total,26919
49,single-year,male,16988
49,single-year,female,11920
49,single-year,total,28908
45-49,age-group,male,100719
45-49,age-group,female,74213
45-49,age-group,total,174932
50,single-year,male,18699
50,single-year,female,14032
50,single-year,total,32731
51,single-year,male,12961
51,single-year,female,9112
51,single-year,total,22073
52,single-year,male,13381
52,single-year,female,9179
52,single-year,total,22560
53,single-year,male,9905
53,single-year,female,7611
53,single-year,total,17516
54,single-year,male,11271
54,single-year,female,7798
54,single-year,total,19069
50-54,age-group,male,66217
50-54,age-group,female,47732
50-54,age-group,total,113949
55,single-year,male,10869
55,single-year,female,7263
55,single-year,total,18132
56,single-year,male,10179
56,single-year,female,7370
56,single-year,total,17549
57,single-year,male,8966
57,single-year,female,6677
57,single-year,total,15643
58,single-year,male,7164
58,single-year,female,5147
58,single-year,total,12311
59,single-year,male,7561
59,single-year,female,5405
59,single-year,total,12966
55-59,age-group,male,44739
55-59,age-group,female,31862
55-59,age-group,total,76601
60,single-year,male,7694
60,single-year,female,6148
60,single-year,total,13842
61,single-year,male,5197
61,single-year,female,3948
61,single-year,total,9145
62,single-year,male,4853
62,single-year,female,3447
62,single-year,total,8300
63,single-year,male,4051
63,single-year,female,3103
63,single-year,total,7154
64,single-year,male,3106
64,single-year,female,2437
64,single-year,total,5543
60-64,age-group,male,24901
60-64,age-group,female,19083
