occupancy_date,id,occupied_beds
2021-12-27,7323151,50
2021-12-27,7323152,18
2021-12-27,7323153,28
2021-12-27,7323154,50
2021-12-27,7323155,NA
2021-12-27,7323156,NA
2021-12-27,7323157,174
2021-12-27,7323158,37
2021-12-27,7323159,90
2021-12-27,7323160,35
2021-12-27,7323161,1
2021-12-27,7323162,63
2021-12-27,7323163,18
2021-12-27,7323164,NA
2021-12-27,7323165,15
2021-12-27,7323166,27
2021-12-27,7323167,34
2021-12-27,7323168,14
2021-12-27,7323169,7
2021-12-27,7323170,NA
2021-12-27,7323171,19
2021-12-27,7323172,15
2021-12-27,7323173,18
2021-12-27,7323174,22
2021-12-27,7323175,24
2021-09-04,7307718,58
2021-09-04,7307719,NA
2021-09-04,7307720,48
2021-09-04,7307721,NA
2021-09-04,7307722,52
2021-09-04,7307723,NA
2021-09-04,7307724,191
2021-09-04,7307725,34
2021-09-04,7307726,NA
2021-09-04,7307727,20
2021-12-27,7323192,30
2021-12-27,7323193,40
2021-12-27,7323194,NA
2021-12-27,7323195,6
2021-12-27,7323196,11
2021-12-27,7323197,32
2021-12-27,7323198,3
2021-12-27,7323199,NA
2021-12-27,7323200,19
2021-12-27,7323201,NA
2021-12-27,7323202,22
2021-12-27,7323203,25
2021-12-27,7323204,20
2021-12-27,7323205,15
2021-12-27,7323206,8
2021-12-27,7323207,23
2021-12-27,7323208,14
2021-12-27,7323209,10
2021-12-27,7323210,29
2021-12-28,7323288,50
2021-12-28,7323289,NA
2021-12-28,7323290,NA
2021-12-28,7323291,173
2021-12-28,7323292,37
2021-12-28,7323293,90
2021-12-28,7323294,35
2021-12-28,7323295,1
2021-12-28,7323296,63
2021-12-28,7323297,18
2021-12-28,7323306,15
2021-12-28,7323307,18
2021-12-28,7323308,22
2021-12-28,7323309,24
2021-12-28,7323310,17
2021-12-28,7323311,43
2021-12-28,7323312,NA
2021-12-28,7323313,26
2021-12-28,7323314,NA
2021-12-28,7323315,NA
2021-12-28,7323316,67
2021-12-28,7323317,NA
2021-12-28,7323318,49
2021-12-28,7323319,NA
2021-12-28,7323320,53
2021-12-28,7323321,NA
2021-12-29,7323403,10
2021-12-29,7323421,30
2021-07-01,7298575,NA
2021-07-01,7298576,NA
2021-07-01,7298577,NA
2021-07-01,7298578,7
2021-07-01,7298579,NA
2021-07-01,7298580,NA
2021-07-01,7298581,NA
2021-07-01,7298582,NA
2021-07-01,7298583,NA
2021-07-01,7298584,NA
2021-07-01,7298585,NA
2021-07-01,7298586,25
2021-07-01,7298587,15
2021-07-01,7298588,NA
2021-07-01,7298589,NA
2021-07-01,7298590,NA
2021-07-01,7298591,NA
2021-07-01,7298592,11
2021-07-01,7298593,NA
2021-07-01,7298594,NA
2021-07-01,7298595,NA
2021-07-01,7298596,6
2021-07-01,7298597,NA
2021-07-01,7298598,NA
2021-07-01,7298599,NA
2021-07-01,7298600,33
2021-07-01,7298601,NA
2021-07-01,7298602,24
2021-07-01,7298603,NA
2021-07-01,7298604,NA
2021-07-01,7298605,NA
2021-07-01,7298606,NA
2021-07-01,7298607,68
2021-07-01,7298608,50
2021-07-01,7298609,34
2021-07-01,7298610,51
2021-07-01,7298611,55
2021-07-01,7298612,17
2021-07-01,7298613,8
2021-07-01,7298614,47
2021-07-01,7298615,15
2021-07-01,7298616,NA
2021-07-01,7298617,3
2021-07-01,7298618,3
2021-07-01,7298619,49
2021-07-01,7298620,20
2021-07-01,7298621,2
2021-07-01,7298622,NA
2021-07-01,7298623,45
2021-07-01,7298624,26
2021-07-01,7298625,44
2021-07-01,7298626,47
2021-07-01,7298627,NA
