gender,state,vote_biden,age_group,education_level,stateicp
female,WI,0,age_45-59,Post sec +,wisconsin
female,VA,0,age_45-59,Post sec +,virginia
female,TX,0,age_60_or_more,High school or less,texas
female,WA,0,age_45-59,High school or less,washington
female,MA,1,age_18-29,Some post sec,massachusetts
female,TX,1,age_30-44,Some post sec,texas
female,CA,0,age_60_or_more,Some post sec,california
female,NC,0,age_45-59,Post sec +,north carolina
female,MD,0,age_60_or_more,Post sec +,maryland
female,FL,1,age_45-59,Some post sec,florida
female,WV,0,age_60_or_more,Some post sec,west virginia
female,OH,1,age_30-44,High school or less,ohio
female,NY,1,age_60_or_more,Post sec +,new york
female,KY,1,age_18-29,Some post sec,kentucky
female,FL,0,age_60_or_more,Post sec +,florida
male,IN,0,age_60_or_more,Post sec +,indiana
female,MI,1,age_60_or_more,High school or less,michigan
male,WA,1,age_30-44,Post sec +,washington
female,IA,0,age_60_or_more,Post sec +,iowa
female,CA,1,age_60_or_more,Some post sec,california
female,SC,0,age_45-59,Post sec +,south carolina
male,MN,1,age_60_or_more,Post sec +,minnesota
female,GA,0,age_60_or_more,Some post sec,georgia
female,PA,0,age_30-44,Grad degree,pennsylvania
female,NJ,1,age_60_or_more,Post sec +,new jersey
female,VA,0,age_30-44,Post sec +,virginia
female,SC,0,age_60_or_more,Some post sec,south carolina
female,TX,0,age_60_or_more,Post sec +,texas
female,FL,1,age_18-29,Some post sec,florida
female,AZ,1,age_60_or_more,Grad degree,arizona
male,IL,1,age_60_or_more,Grad degree,illinois
male,OH,0,age_60_or_more,Some post sec,ohio
female,OH,1,age_45-59,Grad degree,ohio
male,CA,1,age_60_or_more,Some post sec,california
female,FL,0,age_30-44,High school or less,florida
female,NC,1,age_60_or_more,Post sec +,north carolina
male,TX,1,age_30-44,Post sec +,texas
female,FL,1,age_30-44,Grad degree,florida
female,TX,1,age_30-44,Post sec +,texas
female,NJ,1,age_30-44,Post sec +,new jersey
female,FL,1,age_18-29,Some post sec,florida
female,CA,1,age_30-44,High school or less,california
female,OR,0,age_60_or_more,Some post sec,oregon
female,PA,0,age_45-59,Post sec +,pennsylvania
female,PA,1,age_60_or_more,Post sec +,pennsylvania
female,NC,1,age_60_or_more,Some post sec,north carolina
female,TX,0,age_30-44,Some post sec,texas
male,VA,0,age_30-44,Grad degree,virginia
male,OH,0,age_60_or_more,Grad degree,ohio
female,CA,1,age_30-44,Post sec +,california
female,IL,1,age_45-59,Grad degree,illinois
female,NC,0,age_60_or_more,Post sec +,north carolina
female,MI,1,age_45-59,Some post sec,michigan
female,CA,1,age_18-29,Grad degree,california
female,MI,1,age_30-44,Some post sec,michigan
male,CT,1,age_30-44,High school or less,connecticut
female,NC,0,age_60_or_more,Post sec +,north carolina
female,DE,0,age_60_or_more,Some post sec,delaware
female,CT,0,age_60_or_more,Post sec +,connecticut
female,NC,0,age_30-44,Grad degree,north carolina
female,OR,0,age_60_or_more,Post sec +,oregon
female,IL,0,age_60_or_more,Grad degree,illinois
female,NJ,1,age_18-29,Some post sec,new jersey
female,CA,0,age_45-59,Grad degree,california
female,NC,0,age_60_or_more,Post sec +,north carolina
female,FL,1,age_60_or_more,Grad degree,florida
female,IA,1,age_45-59,Post sec +,iowa
female,GA,0,age_45-59,Grad degree,georgia
female,NY,1,age_60_or_more,Grad degree,new york
female,WA,1,age_60_or_more,Post sec +,washington
female,MI,1,age_30-44,Some post sec,michigan
female,OH,1,age_45-59,Some post sec,ohio
female,IL,0,age_30-44,High school or less,illinois
female,MA,1,age_60_or_more,High school or less,massachusetts
female,MO,1,age_30-44,Grad degree,missouri
female,CO,1,age_45-59,Grad degree,colorado
female,IL,0,age_45-59,Some post sec,illinois
female,NC,0,age_60_or_more,Post sec +,north carolina
female,NY,1,age_60_or_more,Grad degree,new york
female,IN,0,age_45-59,High school or less,indiana
female,CA,1,age_30-44,Post sec +,california
female,FL,0,age_18-29,Some post sec,florida
female,PA,0,age_60_or_more,Some post sec,pennsylvania
female,SC,0,age_30-44,Some post sec,south carolina
female,IL,0,age_45-59,Grad degree,illinois
