author,title,number_of_lines
"Austen, Jane",Emma,16488
"Austen, Jane",Lady Susan,2525
"Austen, Jane",Love and Freindship [sic],3401
"Austen, Jane",Mansfield Park,15670
"Austen, Jane",Northanger Abbey,7991
"Austen, Jane",Persuasion,8353
"Austen, Jane",Pride and Prejudice,14199
"Austen, Jane",Sense and Sensibility,12673
"Brontë, Charlotte",Jane Eyre: An Autobiography,21001
"Brontë, Charlotte",Shirley,25520
"Brontë, Charlotte",The Professor,9413
"Brontë, Charlotte",Villette,21312
"Dickens, Charles",A Child's History of England,14862
"Dickens, Charles",A Christmas Carol,3451
"Dickens, Charles",A Christmas Carol in Prose; Being a Ghost Story of Christmas,3842
"Dickens, Charles",A Message from the Sea,1388
"Dickens, Charles",A Tale of Two Cities,15900
"Dickens, Charles",American Notes,9995
"Dickens, Charles",Barnaby Rudge: A Tale of the Riots of 'Eighty,27271
"Dickens, Charles",Bleak House,39838
"Dickens, Charles","Captain Boldheart & the Latin-Grammar Master
A Holiday Romance from the Pen of Lieut-Col. Robin Redforth, aged 9",557
"Dickens, Charles",David Copperfield,38191
"Dickens, Charles",Doctor Marigold,1038
"Dickens, Charles",Dombey and Son,39707
"Dickens, Charles",George Silverman's Explanation,1182
"Dickens, Charles",Going into Society,512
"Dickens, Charles",Great Expectations,20397
"Dickens, Charles",Hard Times,11638
"Dickens, Charles",Holiday Romance,1623
"Dickens, Charles",Hunted Down: The Detective Stories of Charles Dickens,1027
"Dickens, Charles",Little Dorrit,36875
"Dickens, Charles",Martin Chuzzlewit,37449
"Dickens, Charles",Master Humphrey's Clock,4911
"Dickens, Charles",Mrs. Lirriper's Legacy,1118
"Dickens, Charles",Mrs. Lirriper's Lodgings,1373
"Dickens, Charles",Mudfog and Other Sketches,3284
"Dickens, Charles",Mugby Junction,2262
"Dickens, Charles",Nicholas Nickleby,37193
"Dickens, Charles",Oliver Twist,18813
"Dickens, Charles",Our Mutual Friend,38615
"Dickens, Charles",Pictures from Italy,6738
"Dickens, Charles",Reprinted Pieces,8674
"Dickens, Charles","Sketches by Boz, Illustrative of Every-Day Life and Every-Day People",26752
"Dickens, Charles",Sketches of Young Couples,1828
"Dickens, Charles",Sketches of Young Gentlemen,1738
"Dickens, Charles",Some Christmas Stories,1979
"Dickens, Charles",Somebody's Luggage,2108
