state,TFR
Total,2130
Alabama,2021
Alaska,2437
Arizona,2652.5
Arkansas,2140
California,2186
Colorado,2356.5
Connecticut,1931.5
Delaware,2014
District of Columbia,1975.5
Florida,2157.5
Georgia,2239.5
Hawaii,2337
Idaho,2314
Illinois,2190.5
Indiana,2109
Iowa,2052.5
Kansas,2205
Kentucky,1992.5
Louisiana,2128.5
Maine,1611.5
Maryland,1974.5
Massachusetts,1799
Michigan,1969.5
Minnesota,2062
Mississippi,2124
Missouri,2047.5
Montana,2003
Nebraska,2209
Nevada,2560
New Hampshire,1664
New Jersey,2086
New Mexico,2313
New York,2022
North Carolina,2269.5
North Dakota,1875.5
Ohio,1995.5
Oklahoma,2184
Oregon,2086
Pennsylvania,1868
Rhode Island,1822
South Carolina,1971.5
South Dakota,2148
Tennessee,2063.5
Texas,2500.5
Utah,2761.5
Vermont,1565.5
Virginia,1904
Washington,2011.5
West Virginia,1723.5
Wisconsin,1940
Wyoming,1976.5
